プラント	指図タイプ	MRP管理者	WBS番号	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	指図数	担当者コード	人数	工数時間	入力開始日	入力終了日	計画終了日	受注伝票番号	受注明細番号	保管場所
P100	ZPS2	B50	M-0340084-10	40162945	0030	0015139974	総合組立	C0911	MNN	A00A2111400	RCP-PL2-DD-HA-H-M-A(亜鉛)	1	02098	0	300		2025/08/01 21:30:09	20250820	 	 	1911
P100	ZPS2	C17	M-0335925-10	40161144	0040	0014872842	製品検査	C0951	NN	A00A2084800	ECA4F6-350-1500LSV No.1	1	02274	0	60		2025/08/01 21:30:16	20250808	 	 	1911
P100	ZPS2	C17	M-0335925-20	40161145	0040	0014872852	製品検査	C0951	NN	A00A2084900	ECA4F6-350-1500LSV No.2	1	02274	0	270		2025/08/01 21:30:16	20250808	 	 	1911
P100	ZP33	C40	 	70041413	0030	0015797396	総合組立	C0921	SN	ZSH	引取修理	1	02316	0	150		2025/08/01 21:30:16	20250912	0000000000	000000	1910
P100	ZPS2	CG1	C-0332092-10	40159531	1020	0014490628	組立大型手直(他責)	CZ020	NN	A00A2058800	SKS450W-800MSP	1	02316	0	70		2025/08/01 21:30:16	20250730	 	 	
P100	ZPS2	C17	G-0332335-10	40159641	1020	0014504073	組立大型手直(他責)	CZ020	NN	A00A2060200	SCB3WF7-45-15KCL	1	02780	0	100		2025/08/01 21:30:17	20250917	 	 	
P100	ZP10	B50	 	10132652	0040	0015143866	製品検査	C0953	SN	U00A0192301	80V-300A T1(UNIT)	2	02416	0	280		2025/08/01 21:30:17	20250804	0000000000	000000	1210
P100	ZP10	B10	 	10131775	0040	0014875681	総合組立	C0921	MSN	A00A1511801	NW-150AH-5 CQC	20	02692	0	390		2025/08/01 21:30:17	20250819	0000000000	000000	1911
P100	ZPS2	C17	G-0332335-10	40159641	0030	0014504069	総合組立	C0911	MNN	A00A2060200	SCB3WF7-45-15KCL	1	02780	0	200		2025/08/01 21:30:17	20250917	 	 	
P100	ZPS2	C17	G-0333104-20	40160104	0040	0014600806	製品検査	C0951	NN	A00A2063400	SCAM26-200-100VC	1	02416	0	120		2025/08/01 21:30:17	20250828	 	 	1911
P100	ZPS2	C17	G-0332335-10	40159641	0030	0014504069	総合組立	C0911	MNN	A00A2060200	SCB3WF7-45-15KCL	1	02935	0	430		2025/08/01 21:30:18	20250917	 	 	
P100	ZPS2	C17	G-0316801-10	40149805	0030	0012819730	総合組立	C0911	MNN	A00A1949900	SCA4F12-120-4167SVC	4	02793	0	200		2025/08/01 21:30:18	20250930	 	 	
P100	ZP10	B55	 	10132856	0040	0015274834	総合組立	C0922	MSN	A7A784400	RS-RC A/M 15V A 10M	1	03020	0	5		2025/08/01 21:30:18	20250808	0000000000	000000	1210
P100	ZP10	BL0	 	10133043	0030	0015356781	総合組立	C0922	MSN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15	03020	0	20		2025/08/01 21:30:18	20250821	0000000000	000000	1210
P100	ZP10	B55	 	10132831	0040	0015243170	総合組立	C0922	MSN	A2A737100	RS-15010AY5 10M	1	03020	0	5		2025/08/01 21:30:18	20250807	0000000000	000000	1210
P100	ZPS2	CD1	I-0331840-10-01-07-01	40164667	0030	0015525993	ハーネス一品（布線）	A0720	MNN		出力切換盤_ハーネス		03060	0	112		2025/08/01 21:30:19	20250718	 	 	
P100	ZPS2	CC0	I-0326878-10-01-01	40156586	0010	0013962034	ケース（板金）	A0310	NN	J00A7156400	ケース	1	03090	0	90		2025/08/01 21:30:19	20250303	 	 	
P100	ZPS2	C28	I-0334840-10-01-04	40162219	0030	0015029782	総合組立	C0912	MNN	A00A2064701	SFST25SGB1-100MSE (I/O)	1	03060	0	180		2025/08/01 21:30:19	20250827	 	 	
P100	ZP33	C40	 	70041413	0030	0015797396	総合組立	C0921	SN	ZSH	引取修理	1	03058	0	180		2025/08/01 21:30:19	20250912	0000000000	000000	1910
P100	ZPS2	C17	M-0335925-10	40161144	0050	0014872843	製品仕上げ	C0914	NN	A00A2084800	ECA4F6-350-1500LSV No.1	1	03058	0	120		2025/08/01 21:30:19	20250808	 	 	1911
P100	ZPS2	CC0	G-0331386-10-01-03	40160456	0010	0014674146	ケース（板金）	A0310	NN	J00A7168700	大型Ｂ２ケース	1	03260	0	365		2025/08/01 21:30:20	20250804	 	 	
P100	ZPS2	CC0	G-0332291-10-01-01	40160912	0010	0014771211	ケース（板金）	A0310	NN	J00A7223600	ｹｰｽ構成表	1	03090	0	90		2025/08/01 21:30:20	20250711	 	 	
P100	ZPS2	CC0	G-0331386-10-01-07-01	40160461	0010	0014674190	ケース（板金）	A0310	NN	J00A7174700	別盤(LCP)_ケース	1	03090	0	30		2025/08/01 21:30:20	20250603	 	 	
P100	ZPS2	C17	G-0316801-10	40149805	0030	0012819730	総合組立	C0911	MNN	A00A1949900	SCA4F12-120-4167SVC	4	03241	0	140		2025/08/01 21:30:20	20250930	 	 	
P100	ZPS2	CP0	G-0332335-10-01-09	40163476	1000	0015229909	製品検査	C0951	NN	A00A2060201	SCB3WF7-45-15KCL(LCP)	1	03241	0	90		2025/08/01 21:30:20	20250917	 	 	
P100	ZPS2	CC0	G-0332291-10-01-01	40160912	0010	0014771211	ケース（板金）	A0310	NN	J00A7223600	ｹｰｽ構成表	1	03304	0	14		2025/08/01 21:30:21	20250711	 	 	
P100	ZPS2	CC0	G-0331386-10-01-07-01	40160461	0010	0014674190	ケース（板金）	A0310	NN	J00A7174700	別盤(LCP)_ケース	1	03304	0	16		2025/08/01 21:30:21	20250603	 	 	
P100	ZPS2	CC0	G-0331386-10-01-07-01	40160461	0010	0014674190	ケース（板金）	A0310	NN	J00A7174700	別盤(LCP)_ケース	1	03260	0	75		2025/08/01 21:30:21	20250603	 	 	
P100	ZPS2	CC0	G-0331386-10-01-03	40160456	0010	0014674146	ケース（板金）	A0310	NN	J00A7168700	大型Ｂ２ケース	1	03304	0	109		2025/08/01 21:30:21	20250804	 	 	
P100	ZPS2	CC1	I-0341565-10-01-08-01	40164574	0010	0015522400	ケース（板金）	A0310	NN	J00A5188900	ｹｰｽ金具構成表	1	03304	0	55		2025/08/01 21:30:21	20250808	 	 	
P100	ZP10	BB0	 	10133380	0010	0015613272	小型変圧（出庫・機械段取）	A0105	SNF	F00A0643400	DCL 0.5MH巻線表	9	03340	0	10		2025/08/01 21:30:22	20250804	0000000000	000000	1210
P100	ZP10	BB0	 	10133380	1000	0015613277	小型変圧（組立・仕上・検査）	A0130	MSN	F00A0643400	DCL 0.5MH巻線表	9	03340	0	60		2025/08/01 21:30:22	20250804	0000000000	000000	1210
P100	ZPS2	CC0	G-0331386-10-01-03	40160456	0010	0014674146	ケース（板金）	A0310	NN	J00A7168700	大型Ｂ２ケース	1	03384	0	270		2025/08/01 21:30:22	20250804	 	 	
P100	ZPS2	CC0	I-0326878-10-01-01	40156586	0010	0013962034	ケース（板金）	A0310	NN	J00A7156400	ケース	1	03384	0	30		2025/08/01 21:30:22	20250303	 	 	
P100	ZPS2	C17	G-0327727-10	40157021	0030	0014063417	総合組立	C0911	MNN	A00A2031200	KC4WF7-30-10KC（1EGL）	2	03357	0	400		2025/08/01 21:30:22	20250910	 	 	1911
P100	ZP10	B50	 	10132651	0030	0015143856	総合組立	C0921	MSN	A00A1311100	KTA2F2-80-300VCT1	2	03475	0	120		2025/08/01 21:30:23	20250822	0000000000	000000	1910
P100	ZPS2	B50	M-0338500-10	40162095	0030	0015025413	総合組立	C0911	MNN	A00A2099400	KCA2F7-35-600W	2	03475	0	280		2025/08/01 21:30:23	20250826	 	 	1911
P100	ZP11	PC1	 	50116304	0130	0014487025	段取り（検査）	A0850	SNF	PZZA0494218	PK-4942C U18(13)62368 RC1	32	03515	0	5		2025/08/01 21:30:23	20251001	0000000000	000000	1120
P100	ZPS2	C17	G-0332335-10	40159641	0030	0014504069	総合組立	C0911	MNN	A00A2060200	SCB3WF7-45-15KCL	1	03387	0	400		2025/08/01 21:30:23	20250917	 	 	
P100	ZP11	PC1	 	50119366	0120	0015294395	作業時間（修正）	A0830	SNF	P0A611600	WK-6116B     CO2 CONTROL	50	03451	0	60		2025/08/01 21:30:23	20250805	0000000000	000000	1120
P100	ZP11	PC1	 	50116763	0130	0014598471	段取り（検査）	A0850	SNF	PZZA0494218	PK-4942C U18(13)62368 RC1	16	03515	0	5		2025/08/01 21:30:24	20251001	0000000000	000000	1120
P100	ZP11	PC1	 	50116763	0160	0014598474	作業時間（検査）	A0852	MFN	PZZA0494218	PK-4942C U18(13)62368 RC1	16	03515	0	4		2025/08/01 21:30:24	20251001	0000000000	000000	1120
P100	ZP11	PC1	 	50116304	0160	0014487028	作業時間（検査）	A0852	MFN	PZZA0494218	PK-4942C U18(13)62368 RC1	32	03515	0	5		2025/08/01 21:30:24	20251001	0000000000	000000	1120
P100	ZP11	PC1	 	50119366	0130	0015294396	段取り（検査）	A0850	SNF	P0A611600	WK-6116B     CO2 CONTROL	50	03515	0	5		2025/08/01 21:30:24	20250805	0000000000	000000	1120
P100	ZP11	PC1	 	50119366	0160	0015294399	作業時間（検査）	A0852	MFN	P0A611600	WK-6116B     CO2 CONTROL	50	03515	0	50		2025/08/01 21:30:24	20250805	0000000000	000000	1120
P100	ZP11	PC1	 	50120044	0130	0015697075	段取り（検査）	A0850	SNF	P00A0752100	WK-7521D PILOT MAIN PCB	15	03515	0	5		2025/08/01 21:30:25	20250731	0000000000	000000	1120
P100	ZP11	PC1	 	50119919	0130	0015614849	段取り（検査）	A0850	SNF	P00A0703000	IK-7030B	12	03515	0	5		2025/08/01 21:30:25	20250730	0000000000	000000	1120
P100	ZP11	PC1	 	50119942	0160	0015627171	作業時間（検査）	A0852	MFN	P00A0715916	IK-7159CU16 CM600DU-12NFH	15	03515	0	20		2025/08/01 21:30:25	20250731	0000000000	000000	1120
P100	ZP11	PC1	 	50119942	0130	0015627169	段取り（検査）	A0850	SNF	P00A0715916	IK-7159CU16 CM600DU-12NFH	15	03515	0	5		2025/08/01 21:30:25	20250731	0000000000	000000	1120
P100	ZP11	PC1	 	50119919	0160	0015614851	作業時間（検査）	A0852	MFN	P00A0703000	IK-7030B	12	03515	0	40		2025/08/01 21:30:25	20250730	0000000000	000000	1120
P100	ZP11	PC1	 	50120062	0130	0015698795	段取り（検査）	A0850	SNF	P00A0770900	WK-7709      OUTPUT FILT.	3	03515	0	5		2025/08/01 21:30:26	20250731	0000000000	000000	1120
P100	ZP11	PC1	 	50120044	0160	0015697077	作業時間（検査）	A0852	MFN	P00A0752100	WK-7521D PILOT MAIN PCB	15	03515	0	40		2025/08/01 21:30:26	20250731	0000000000	000000	1120
P100	ZP11	PC1	 	50120169	1000	0015776336	作業時間（検査）	A0852	MFN	P00A0745800	WK-7458A     CTRL REACH	1	03515	0	2		2025/08/01 21:30:26	20250729	0000000000	000000	1120
P100	ZP11	PC1	 	50120169	0130	0015776330	段取り（検査）	A0850	SNF	P00A0745800	WK-7458A     CTRL REACH	1	03515	0	5		2025/08/01 21:30:26	20250729	0000000000	000000	1120
P100	ZP11	PC1	 	50120062	0160	0015698794	作業時間（検査）	A0852	MFN	P00A0770900	WK-7709      OUTPUT FILT.	3	03515	0	3		2025/08/01 21:30:26	20250731	0000000000	000000	1120
P100	ZPS2	CC0	G-0316801-10-01-02	40162358	0040	0015041401	ケース（洗浄乾燥）	A0341	NN	J00A7190900	ｹｰｽ構成表	4	03788	0	28		2025/08/01 21:30:27	20250703	 	 	
