MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20250804		000010132876		A6A862600	IDKS-40-200T3 L67-70L	8	8.000	PC	P100	1911		X	5003000838	0001	101	F	S	375103.00000	3000824.00000	429000.00000	3432000.00000
B10	20250805		000010132962		A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1.000	PC	P100	1911		X	5003000965	0001	101	F	S	65613.00000	65613.00000	92000.00000	92000.00000
B10	20250806		000010132854		A00A1963100	MRT-10010CY       STD	5	1.000	PC	P100	1911			5003001328	0001	101	F	S	371284.00000	371284.00000	374000.00000	374000.00000
B10	20250806		000010132854		A00A1963100	MRT-10010CY       STD	5	1.000	PC	P100	1911			5003001329	0001	101	F	S	371284.00000	371284.00000	374000.00000	374000.00000
B10	20250806		000010132854		A00A1963100	MRT-10010CY       STD	5	1.000	PC	P100	1911			5003001330	0001	101	F	S	371284.00000	371284.00000	374000.00000	374000.00000
B10	20250806		000010132854		A00A1963100	MRT-10010CY       STD	5	1.000	PC	P100	1911			5003001331	0001	101	F	S	371284.00000	371284.00000	374000.00000	374000.00000
B10	20250806		000010132854		A00A1963100	MRT-10010CY       STD	5	1.000	PC	P100	1911		X	5003001332	0001	101	F	S	371284.00000	371284.00000	374000.00000	374000.00000
B10	20250806		000010132853		A00A1963600	MRT-15010CY       STD	5	1.000	PC	P100	1911			5003001323	0001	101	F	S	416428.00000	416428.00000	463000.00000	463000.00000
B10	20250806		000010132853		A00A1963600	MRT-15010CY       STD	5	1.000	PC	P100	1911			5003001324	0001	101	F	S	416428.00000	416428.00000	463000.00000	463000.00000
B10	20250806		000010132853		A00A1963600	MRT-15010CY       STD	5	1.000	PC	P100	1911			5003001325	0001	101	F	S	416428.00000	416428.00000	463000.00000	463000.00000
B10	20250806		000010132853		A00A1963600	MRT-15010CY       STD	5	1.000	PC	P100	1911			5003001326	0001	101	F	S	416428.00000	416428.00000	463000.00000	463000.00000
B10	20250806		000010132853		A00A1963600	MRT-15010CY       STD	5	1.000	PC	P100	1911		X	5003001327	0001	101	F	S	416428.00000	416428.00000	463000.00000	463000.00000
B50	20250804		000010132652		U00A0192301	80V-300A T1(UNIT)	2	2.000	PC	P100	1210		X	5003000837	0001	101	F	S	736247.00000	1472494.00000	0.00000	0.00000
B55	20250805		000010133218		A00A0141800	MRT-PR ﾊﾟｿｺﾝｹｰﾌﾞﾙ3MｾｯﾄUSB	2	2.000	PC	P100	1910		X	5003001200	0001	101	F	S	52807.00000	105614.00000	44000.00000	88000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000955	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000956	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000957	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000958	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000959	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000960	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000961	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000962	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911			5003000963	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133005		A00A1245100	HKD-RE PANEL	10	1.000	PC	P100	1911		X	5003000964	0001	101	F	S	32392.00000	32392.00000	33000.00000	33000.00000
B55	20250805		000010133057		A3A416200	RS-RC 15V  A 10M E	1	1.000	PC	P100	1210		X	5003000954	0001	101	F	S	61973.00000	61973.00000	0.00000	0.00000
B55	20250808		000010132831		A2A737100	RS-15010AY5 10M	1	1.000	PC	P100	1210		X	5003002384	0001	101	F	S	67300.00000	67300.00000	0.00000	0.00000
B55	20250808		000010132856		A7A784400	RS-RC A/M 15V A 10M	1	1.000	PC	P100	1210		X	5003002385	0001	101	F	S	68895.00000	68895.00000	0.00000	0.00000
B58	20250806		000010133554		U00A0396900	GK-7807ﾒﾝﾃﾅﾝｽｹｰﾌﾞﾙ	1	1.000	PC	P100	1210		X	5003001418	0001	101	F	S	14260.00000	14260.00000	0.00000	0.00000
B58	20250808		000010133140		A00A0248400	Spare FAN ｶｺｳﾋﾝ	50	50.000	PC	P100	1910		X	5003002346	0001	101	F	S	2772.00000	138600.00000	6000.00000	300000.00000
B58	20250808		000010133191		A00A0480500	冷却扇 ASSY	3	3.000	PC	P100	1910		X	5003002386	0001	101	F	S	8181.00000	24543.00000	8876.00000	26628.00000
B70	20250805		R341888		P00A0707800	DK-7078 SW BOARD	10	10.000	PC	P100	1910		X	5003000969	0001	101	F	S	3231.00000	32310.00000	5972.00000	59720.00000
B70	20250805		R343481		P0A624400	WK-6244      SR500 THY_G	5	5.000	PC	P100	1910		X	5003000967	0001	101	F	S	6934.00000	34670.00000	13870.00000	69350.00000
B70	20250808		R346515		P0A561006	MK-5610C U06 MRT MOTHER	1	1.000	PC	P100	1910		X	5003002383	0001	101	F	S	18756.00000	18756.00000	36686.00000	36686.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002615	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002616	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002617	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002618	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002619	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002620	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002621	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002622	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002623	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002624	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002625	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002626	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002627	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002628	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002629	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002630	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002631	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002632	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002633	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002634	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002635	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002636	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002637	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002638	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002639	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002640	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002641	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002642	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002643	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002644	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002645	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
B82	20250808		000010132991		A00A1274701	#HKD-15200GU (C) (N)	100	1.000	PC	P100	1944			5003002646	0001	101	F	S	184230.00000	184230.00000	231000.00000	231000.00000
