品目コード	プラント	品目タイプ	品目St	標準原価	価格単位	１個標準原価	現会計年度	現会計期間	評価クラス	間接費グループ	基本数量単位	調達タイプ	特殊調達タイプ	削除フラグ	品目テキスト	バルク品目	登録日付	登録者	変更日付	変更者	品目グループ	発注単位	NL	プラントレベル削除フラグ	出庫保管場所	入庫保管場所	在庫決定グループ	購買グループ	MRPグループ	MRP管理者	MRPタイプ	日程計画余裕キー	納入予定日数	入庫処理日数	発注点	安全在庫	最小ロットサイズ	最大ロットサイズ	固定ロットサイズ	購買発注丸め数量	組立不良率	製造計画担当	原産国	原産地	利益センタ	原価計算ロットサイズ	原価計算特殊調達タイプ	間接費キー	品目発生源	RoHSフラグ	RoHS日付	RoHSテキスト	安全重要	安全重要テキスト	設計予算材料費	設計予算加工費	図面改訂	該非判定	メーカーコード	メーカ正式名称1	メーカ正式名称2	格上げ区分	工程	適合確認Ver	集団変換後品目コード	GL勘定	棚番	メーカー名	Av	バックフラッシュ	購買発注テキスト
A00A0103500	P300	UNBW		0.000	0	0.000	0000	000			PC			X	ZKS150-200/ZIT10SG(RF)		20091126	SISSYS	20230628	SIS031	ZZU		L	X									0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00					0.000									0.00	0.00	AB	X											01		
A00A0454200	P300	UNBW		0.000	0	0.000	0000	000			PC			X	ZKS150-200MSE/ZIT10SG TDK		20111005	SISSYS	20230628	SIS031	ZZU		L	X									0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00					0.000									0.00	0.00	AB	X											01		
ZSM1	P300	FERT		0.000	1	0.000	0000	000	3200		PC				年間保守契約（大阪）		20170223	SIS031	20170317	SIS031	99												0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS210	1.000			X						0.00	0.00										154000			KP		
ZSM3	P300	FERT		0.000	1	0.000	0000	000	3200		PC				年間保守契約（東京）		20170317	SIS031	20170317	SIS031	99												0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS210	1.000			X						0.00	0.00										154000			KP		
ZSM2	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS100	PC	E			XX月 保守サービス（大阪）		20170223	SIS031	20170317	SIS031	99				3110	3110				S10	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS310	1.000			X						0.00	0.00										154000			02		
ZSM4	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS110	PC	E			XX月 保守サービス（東京）		20170317	SIS031	20170317	SIS031	99				3120	3120				S20	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS330	1.000			X						0.00	0.00										154000			02		
ZSS1	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS100	PC	E			大阪出張サービス		20170223	SIS031	20171221	SISSYS	99				3110	3110				S10	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS310	1.000			X						0.00	0.00										154000			02		
ZSS2	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS110	PC	E			東京出張サービス		20170223	SIS031	20171221	SISSYS	99				3120	3120				S20	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS330	1.000			X						0.00	0.00										154000			02		
ZST1	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS100	PC	E			大阪直送サービス（試運転）		20171220	SIS031	00000000		99				3110	3110				S10	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS310	1.000			X						0.00	0.00										154000			02		
ZST2	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS110	PC	E			東京直送サービス（試運転）		20171220	SIS031	00000000		99				3120	3120				S20	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS330	1.000			X						0.00	0.00										154000			02		
40300007501	P300	ROH		0.000	1	0.000	0000	000	1000		PC				EROS2THF1501 0.25W 1.50Kｵｰﾑ +*		20090612	SIS008	20250121	MM3006	40		L										0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1.000				A	2010/06/08	三社ランク指針適合品(RoHS品)			1.05	0.00		Y	4500300	パナソニック			A1		40307053200	154000		ﾊﾟﾅｿﾆｸ	02		
40300023701	P300	ROH		0.000	1	0.000	0000	000	1000		PC				EROS2THF4643 0.25W 464Kｵｰﾑ +-*		20090612	SIS008	20250121	MM3008	40		L										0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1.000				A	2005/04/01	三社ランク指針適合品(RoHS品)			1.05	0.00		Y	4500300	パナソニック			A1		40297374000	154000		ﾊﾟﾅｿﾆｸ	02		
40300028401	P300	ROH		0.000	1	0.000	0000	000	1000		PC				EROS2THF3483 0.25W 348Kｵｰﾑ +-*		20090612	SIS008	20250121	MM3008	40		L										0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1.000				A	2005/04/01	三社ランク指針適合品(RoHS品)			1.05	0.00		Y	4500300	パナソニック			A1		40300797200	154000		ﾊﾟﾅｿﾆｸ	02		
A00A1274701	P300	FERT		0.000	1	0.000	0000	000	3200		PC	X			#HKD-15200GU (C) (N)		20170509	SISSYS	20250701	CO1004	ZZF		L								ND		0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1.000									219783.00	0.00	AP	Y								154000			02		
ZSH1	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS200	PC	E			引取修理（有償）		20170223	SIS031	20250401	MM3008	99				3110	3110				S50	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS320	1.000			X						0.00	0.00										154000			02		
