内部指図番号	テキスト	ステータス	登録日	指図タイプ	登録者	利益センタ	リリース済日	登録時刻
0C1604001	東電荻窪支社～和田掘変電所	CMPL	20160404	ZE10	PP1007	P716103	20160404	130054	
0C1604002	東京電力パワーグリッド向けSLTKSF25×2(3)	CMPL	20160406	ZE10	PP1007	P716103	20160406	152436	
0C1604003	東京電力パワーグリッド向けSLTKSF50×2(3)	DLFL	20160406	ZE10	PP1007	P716103	20160406	152615	
0C1604004	東京電力パワーグリッド向けSLTKSF50×2（3）	DLFL	20160406	ZE10	PP1007	P716103	20160406	152641	
0C1604005	東京電力パワーグリッド向けSLTKSF50×2(5)	DLFL	20160406	ZE10	PP1007	P716103	20160406	152708	
0C1604006	東京電力パワーグリッド向けSLTKSF50×2（5）	DLFL	20160406	ZE10	PP1007	P716103	20160406	152731	
0C1604007	パナソニック～新日鉄住金和歌山	CMPL	20160407	ZE10	PP1007	P716103	20160407	161359	
0C1604008	パナソニック～新日鉄住金名古屋	CMPL	20160407	ZE10	PP1007	P716103	20160407	161618	
0C1604009	パナソニック新井	CMPL	20160408	ZE10	PP1005	P716103	20160408	124831	
0C1604010	パナソニック～新日鉄住金名古屋製鐵所	CMPL	20160408	ZE10	PP1007	P716103	20160408	125917	
0C1604011	ORIX相馬	CMPL	20160412	ZE10	PP1007	P716103	20160412	120934	
0C1604012	ひびき灘石炭・バイオマス発電所建設工事	CMPL	20160408	ZE10	PP1007	P716103	20160408	125949	
0C1604013	東電神奈川支社～川井変電所	CMPL	20160412	ZE10	PP1007	P716103	20160412	121007	
0C1604014	ＧＳユアサ向け充放電装置	CMPL	20160412	ZE10	PP1007	P716102	20160412	121023	
0C1604015	下関市奥山工場向け　直流電源装置更新	CMPL	20160412	ZE10	PP1007	P716103	20160412	121048	
0C1604016	東電品川支社～大井変電所	CMPL	20160412	ZE10	PP1007	P716103	20160412	121102	
0C1604017	東部知多衛生組合	CMPL	20160414	ZE10	PP1007	P716103	20160414	090713	
0C1604018	JFEｽﾁｰﾙ福山第7独身寮	DLFL	20160419	ZE10	PP1007	P716103	20160419	161726	
0C1604019	東電品川支社～大崎変電所	CMPL	20160414	ZE10	PP1007	P716103	20160414	152137	
0C1604020	東電荻窪支社～何泉変電所、大泉変電所	CMPL	20160414	ZE10	PP1007	P716103	20160414	152209	
0C1604021	東電渋川支社～須田貝発電所	CMPL	20160415	ZE10	PP1007	P716103	20160415	114956	
0C1604022	東電渋川支社～鎌田発電所	CMPL	20160415	ZE10	PP1007	P716103	20160415	115019	
0C1604023	東電埼玉総支社～吉野変電所	CMPL	20160415	ZE10	PP1007	P716103	20160415	115035	
0C1604024	千葉県某所向け防災直流電源	CMPL	20160415	ZE10	PP1007	P716103	20160415	115053	
0C1604025	北陸電力後高中　城山中　西勝原　ＣＳ	CMPL	20160420	ZE10	PP1007	P716103	20160420	153105	
0C1604026	兵庫県道路公社　西宮北道路	CMPL	20160418	ZE10	PP1007	P716103	20160418	100211	
0C1604027	J-ｵｲﾙﾐﾙｽﾞ静岡工場	CMPL	20160418	ZE10	PP1007	P716103	20160418	100241	
0C1604029	東電荻窪支社～南泉変電所、大泉変電所	CMPL	20160419	ZE10	PP1007	P716103	20160419	161742	
0C1604030	DD　発電制御システムCVCF購入	DLFL	20160419	ZE10	PP1007	P716103	20160419	161758	
0C1604031	高槻市ｸﾘｰﾝｾﾝﾀｰ	CMPL	20160419	ZE10	PP1007	P716103	20160419	161815	
0C1604032	神鋼特殊鋼管 下関事業殿向け直流電源	CMPL	20160419	ZE10	PP1007	P716103	20160419	161829	
0C1604033	黒部市黒部峡谷	CMPL	20160420	ZE10	PP1007	P716103	20160420	153124	
0C1604034	JR川崎火力	DLFL	20160420	ZE10	PP1007	P716103	20160420	153141	
0C1604035	NEXCO小矢部砺波JCT	CMPL	20160420	ZE10	PP1007	P716103	20160420	153156	
0C1604036	パナソニック～新日鉄住金名古屋	CMPL	20160425	ZE10	PP1007	P716103	20160425	085318	
0C1604037	INPEX越路原	DLFL	20160425	ZE10	PP1007	P716103	20160425	085356	
0C1604038	JFE福山	DLFL	20160425	ZE10	PP1007	P716103	20160425	085418	
0C1604039	SLTKS25X3-150MSP	CMPL	20160425	ZE10	PP1007	P716103	20160425	085440	
0C1604041	入間市寺竹配水場SKS30-50MSP	CMPL	20160426	ZE10	PP1007	P716103	20160426	163807	
0C1604042	東電神奈川総支社～川井変電所	DLFL	20160426	ZE10	PP1007	P716103	20160426	163829	
0C1604043	東電東京総支社～蔵前変電所	DLFL	20160427	ZE10	PP1007	P716103	20160427	170055	
0C1604044	東電品川支社～大崎変電所	DLFL	20160509	ZE10	PP1007	P716103	20160509	090925	
0C1604045	東電荻窪支社～南泉変電所	DLFL	20160509	ZE10	PP1007	P716103	20160509	090942	
0C1604046	東電荻窪支社～大泉変電所	DLFL	20160509	ZE10	PP1007	P716103	20160509	090956	
0C1605001	須賀川ごみ処理場	DLFL	20160510	ZE10	PP1007	P716103	20160510	095251	
0C1605002	宇和島ごみ処理場	DLFL	20160510	ZE10	PP1007	P716103	20160510	095340	
0C1605003	稲川流域	DLFL	20160510	ZE10	PP1007	P716103	20160510	095400	
0C1605004	赤穂発電所	CMPL	20160510	ZE10	PP1007	P716103	20160510	095947	
0C1605005	救急救命東京研修所	DLFL	20160511	ZE10	PP1007	P716103	20160511	084445	
0C1605006	NZ某所	CMPL	20160511	ZE10	PP1007	P716103	20160511	084502	
0C1605007	東京電力パワーグリッド向け	DLFL	20160511	ZE10	PP1007	P716103	20160511	084515	
0C1605008	宇和島ごみ処理場	DLFL	20160511	ZE10	PP1007	P716103	20160511	084529	
0C1605009	JFE倉敷圧延5号炉	DLFL	20160513	ZE10	PP1007	P716103	20160513	165710	
0C1605010	JFE福山5焼結	DLFL	20160513	ZE10	PP1007	P716103	20160513	165722	
0C1605011	東京工業大学（大岡山）特別高圧変電室直流電源設備改修工事	DLFL	20160513	ZE10	PP1007	P716103	20160513	165736	
0C1605012	北陸電力新寺田変電所	DLFL	20160517	ZE10	PP1007	P716103	20160517	144132	
0C1605013	岡山県警　備前通信局舎	DLFL	20160519	ZE10	PP1007	P716103	20160519	163725	
0C1605014	日立化成名張事業所向け電源装置	DLFL	20160519	ZE10	PP1007	P716102	20160519	163828	
0C1605015	JFE倉敷　酸素ﾌﾟﾗﾝﾄ	DLFL	20160523	ZE10	PP1007	P716103	20160523	170758	
0C1605016	新日鐵住金ｽﾃﾝﾚｽ　光工場	DLFL	20160524	ZE10	PP1007	P716103	20160524	164843	
0C1605017	NEXCO小矢部砺波JCT	DLFL	20160524	ZE10	PP1007	P716103	20160524	164903	
0C1605018	KHSプロジェクト　0001M4411334	DLFL	20160524	ZE10	PP1007	P716103	20160524	164919	
0C1605019	山梨県バイオマス発電所(新設)	CMPL	20160526	ZE10	PP1007	P716103	20160526	084326	
0C1605020	（仮称）長野広域連合ゴミ処理施設建設工事	DLFL	20160526	ZE10	PP1007	P716103	20160526	084343	
0C1605021	（仮称）長野広域連合ゴミ処理施設建設工事	DLFL	20160526	ZE10	PP1007	P716103	20160526	084359	
0C1605022	東電ヒュエル&パワー～広野火力発電所5号	DLFL	20160526	ZE10	PP1007	P716103	20160526	084413	
0C1605023	東電ヒュエル&パワー～広野火力発電所5号	DLFL	20160526	ZE10	PP1007	P716103	20160526	084427	
0C1605024	東京外環自動車道	CMPL	20160607	ZE10	PP1007	P716103	20160607	085145	
0C1605025	東京外環自動車道	CMPL	20160607	ZE10	PP1007	P716103	20160607	085211	
0C1605026	東京外環自動車道	CMPL	20160607	ZE10	PP1007	P716103	20160607	085227	
0C1605027	丸住製紙	DLFL	20160531	ZE10	PP1007	P716103	20160531	095510	
0C1605028	旭化成延岡	CMPL	20160531	ZE10	PP1007	P716103	20160531	095522	
0C1605029	中国電力H28充電器一括	DLFL	20160531	ZE10	PP1007	P716103	20160531	095535	
0C1605030	宇和島ごみ処理場	DLFL	20160617	ZE10	PP1007	P716103	20160617	084944	
0C1606001	JFE京浜	CMPL	20160607	ZE10	PP1007	P716103	20160607	085241	
0C1606002	IHI七ツ島バイオマス	CMPL	20160607	ZE10	PP1007	P716103	20160607	085255	
0C1606003	草木ダム管理所外直流電源装置更新工事	DLFL	20160607	ZE10	PP1007	P716103	20160607	085310	
0C1606004	JFE福山　5焼結	CMPL	20160608	ZE10	PP1007	P716103	20160608	113237	
0C1606005	JFE倉敷熱延5号炉	CMPL	20160608	ZE10	PP1007	P716103	20160608	113252	
0C1606006	ｻﾝ･ﾄｯｸｽ関東工場	CMPL	20160609	ZE10	PP1007	P716103	20160609	141850	
0C1606007	日本海発電（株）新熊野川発電所 北陸電力（株）小俣発電所	CMPL	20160610	ZE10	PP1007	P716103	20160610	160550	
0C1606008	SKS50・SKS30-○○MSP　川崎天然ガス発電	DLFL	20160610	ZE10	PP1007	P716103	20160610	160622	
0C1606009	大丸心斎橋本館建替	CMPL	20160610	ZE10	PP1007	P716103	20160610	160640	
0C1606010	東部知多衛生組合	CMPL	20160613	ZE10	PP1007	P716103	20160613	143328	
0C1606011	中津川出張所	CMPL	20160613	ZE10	PP1007	P716103	20160613	143341	
0C1606012	山国川河川事務所	CMPL	20160613	ZE10	PP1007	P716103	20160613	143355	
0C1606013	大丸心斎橋本館建替	CMPL	20160614	ZE10	PP1007	P716103	20160614	144746	
0C1606014	関西電力相生発電所1号	CMPL	20160630	ZE10	PP1007	P716103	20160630	093842	
0C1606015	JFE倉敷2号ﾛｰﾄﾞｾﾝﾀｰ	CMPL	20160617	ZE10	PP1007	P716103	20160617	085000	
0C1606016	トーヨーカラー守山製造所	CMPL	20160620	ZE10	PP1007	P716103	20160620	094153	
0C1606017	埼玉県某自治体	DLFL	20160617	ZE10	PP1007	P716103	20160617	085017	
0C1606018	東電富士支社～富士変電所	CMPL	20160620	ZE10	PP1007	P716103	20160620	094215	
0C1606019	北但行政事務組合　不具合対応改造	DLFL	20160620	ZE10	PP1007	P716103	20160620	094231	
0C1606020	三菱電機（株）　神戸製作所	CMPL	20160621	ZE10	PP1007	P716103	20160621	085659	
0C1606021	中央通信（株）	DLFL	20160621	ZE10	PP1007	P716103	20160621	085730	
0C1606022	西日本高速道路エンジニアリング中国	DLFL	20160621	ZE10	PP1007	P716103	20160621	085742	
0C1606023	日本サーモエナー	CMPL	20160623	ZE10	PP1007	P716103	20160623	140503	
0C1606024	同報系防災無線	CMPL	20160623	ZE10	PP1007	P716103	20160623	140524	
0C1606025	宮城県内防災無線	CMPL	20160623	ZE10	PP1007	P716103	20160623	140537	
0C1606026	沖縄県某所	CMPL	20160623	ZE10	PP1007	P716103	20160623	140551	
0C1606027	関西某火力ﾌﾟﾗﾝﾄ	CMPL	20160623	ZE10	PP1007	P716103	20160623	140603	
0C1606028	関西某火力ﾌﾟﾗﾝﾄ	CMPL	20160623	ZE10	PP1007	P716103	20160623	140615	
0C1606029	関西某火力ﾌﾟﾗﾝﾄ	CMPL	20160623	ZE10	PP1007	P716103	20160623	140629	
0C1606030	東電パワーグリッド～48V系直流電源装置	DLFL	20160623	ZE10	PP1007	P716103	20160623	140641	
0C1606031	IHI IHI横浜アンモニア燃焼研究　SKS20-50MSE	CMPL	20160628	ZE10	PP1007	P716103	20160628	162953	
0C1606032	犬山浄水場	DLFL	20160628	ZE10	PP1007	P716103	20160628	163008	
0C1606033	大分共同火力1号機	DLFL	20160628	ZE10	PP1007	P716103	20160628	163023	
0C1606034	東電PG江東支社～菊川変電所	DLFL	20160628	ZE10	PP1007	P716103	20160628	163036	
0C1606035	ＪＦＥ京浜	DLFL	20160629	ZE10	PP1007	P716103	20160629	085830	
0C1606036	新日鐵住金　大分製鐵所	DLFL	20160629	ZE10	PP1007	P716103	20160629	085843	
0C1606037	東電品川支社五反田変電所 MSE化改造	DLFL	20160629	ZE10	PP1007	P716103	20160629	085854	
0C1606038	東電PG千葉総支社～下総変電所	DLFL	20160630	ZE10	PP1007	P716103	20160630	093858	
0C1607001	須賀川地方新ごみ処理施設	CMPL	20160704	ZE10	PP1007	P716103	20160704	093911	
0C1607002	須賀川地方新ごみ処理施設	CMPL	20160705	ZE10	PP1007	P716103	20160705	101158	
0C1607003	コスモ石油　坂出製油所	DLFL	20160705	ZE10	PP1007	P716103	20160705	101356	
0C1607004	パナソニック新井	DLFL	20160705	ZE10	PP1007	P716103	20160705	101417	
0C1607005	秦野市防災　中継局	CMPL	20160705	ZE10	PP1007	P716103	20160705	101432	
0C1607006	大阪広域水道局	CMPL	20160705	ZE10	PP1007	P716103	20160705	101445	
0C1607007	関西某火力ﾌﾟﾗﾝﾄ直流電源装置1	CMPL	20160707	ZE10	PP1115	P716103	20160707	111744	
0C1607008	関西某火力ﾌﾟﾗﾝﾄ直流電源装置2	CMPL	20160707	ZE10	PP1115	P716103	20160707	111850	
0C1607009	NEXCO佐用IC	CMPL	20160707	ZE10	PP1115	P716103	20160707	112032	
0C1607010	TMDPプロジェクト	CMPL	20160707	ZE10	PP1115	P716103	20160707	112102	
0C1607011	三井化学　車両用制御盤	DLFL	20160707	ZE10	PP1115	P716103	20160707	112241	
0C1607012	東京電力　福島第一原子力発電所	DLFL	20160708	ZE10	PP1115	P716103	20160708	151125	
0C1607013	東淀清掃工場　基幹改良工事（直流電源）	DLFL	20160712	ZE10	PP1115	P716103	20160712	140505	
0C1607014	東電PG千葉総支社～下総変電所	CMPL	20160713	ZE10	PP1115	P716103	20160713	150602	
0C1607015	筑後川局向け通信用直流電源装置	CMPL	20160713	ZE10	PP1115	P716103	20160713	150635	
0C1607016	TMDPプロジェクト（直流電源装置）	DLFL	20160713	ZE10	PP1115	P716103	20160713	150742	
0C1607017	NEXCO西日本 長崎自動車道 前岳TN	DLFL	20160714	ZE10	PP1115	P716103	20160714	144403	
0C1607018	草木ダム管理所外直流電源装置更新工事(梨木中継所)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144437	
0C1607019	草木ダム管理所外直流電源装置更新工事(草木ダム)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144512	
0C1607020	草木ダム管理所外直流電源装置更新工事(花輪局)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144546	
0C1607021	草木ダム管理所外直流電源装置更新工事(片向局)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144613	
0C1607022	草木ダム管理所外直流電源装置更新工事(梨木中継所)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144646	
0C1607023	草木ダム管理所外直流電源装置更新工事(草木ダム)	CMPL	20160714	ZE10	PP1115	P716103	20160714	144701	
0C1607024	つくば中央1-2棟電気設備（交流無停電電源装置他）改修工事	CMPL	20160714	ZE10	PP1115	P716103	20160714	144736	
0C1607026	東電東京総支社～蔵前変電所	CMPL	20160720	ZE10	PP1115	P716103	20160720	151822	
0C1607027	青森県内役所	CMPL	20160720	ZE10	PP1115	P716103	20160720	151903	
0C1607029	紫波町紫波浄化センター	CMPL	20160726	ZE10	PP1115	P716103	20160726	135251	
0C1607030	盛岡市松園第２汚水中継ポンプ場	DLFL	20160726	ZE10	PP1115	P716103	20160726	135336	
0C1607031	産総研つくば中央1-2棟電気設備(交流無停電電源装置他)改修工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085535	
0C1607032	沖縄県　瑞慶覧AP局	CMPL	20160728	ZE10	PP1115	P716103	20160728	085605	
0C1607033	草木ダム管理所外直流電源装置更新工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085630	
0C1607034	草木ダム管理所外直流電源装置更新工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085703	
0C1607035	草木ダム管理所外直流電源装置更新工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085731	
0C1607036	草木ダム管理所外直流電源装置更新工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085751	
0C1607037	草木ダム管理所外直流電源装置更新工事	CMPL	20160728	ZE10	PP1115	P716103	20160728	085831	
0C1607038	高槻市ｸﾘｰﾝｾﾝﾀｰ	DLFL	20160728	ZE10	PP1115	P716103	20160728	085847	
0C1607039	つくば中央1-2棟電気設備(交流無停電電源装置他)改修工事	DLFL	20160728	ZE10	PP1115	P716103	20160728	085915	
0C1607040	東部知多衛生組合	CMPL	20160728	ZE10	PP1115	P716103	20160728	085940	
0C1607041	寝屋川中継ﾎﾟﾝﾌﾟ場	DLFL	20160728	ZE10	PP1115	P716103	20160728	170255	
0C1607042	日奈久浜町ﾎﾟﾝﾌﾟ場	DLFL	20160728	ZE10	PP1115	P716103	20160728	170315	
0C1607043	広島県立教育センター	CMPL	20160729	ZE10	PP1115	P716103	20160729	163534	
0C1607044	秦野市防災　中継局	CMPL	20160830	ZE10	PP1115	P716103	20160830	105017	
0C1608001	アクロス新大阪　ＳＫＳ７５－６００ＨＳＥバッテリー交換	CMPL	20160801	ZE10	PP1115	P716103	20160801	113854	
0C1608002	㈱アサヒ～日立産機　SKS30-50MSE	CMPL	20160803	ZE10	PP1115	P716103	20160803	111447	
0C1608003	中国電力新川平ダム	CMPL	20160803	ZE10	PP1115	P716103	20160803	111513	
0C1608004	東北大学（青葉山３）	CMPL	20160803	ZE10	PP1115	P716103	20160803	111536	
0C1608005	JR東海　川崎火力	CMPL	20160803	ZE10	PP1115	P716103	20160803	111600	
0C1608006	東電PG銀座支店～鍛冶橋変電所	CMPL	20160804	ZE10	PP1115	P716103	20160804	132011	
0C1608007	NEXCO江津IC、江津西IC、浜田東IC	CMPL	20160809	ZE10	PP1115	P716103	20160809	163936	
0C1608008	宇和島ごみ処理場	CMPL	20160809	ZE10	PP1115	P716103	20160809	164037	
0C1608009	延岡河川国道事務所　管内　延岡高速道路維持出張所	CMPL	20160809	ZE10	PP1115	P716103	20160809	164115	
0C1608010	兵庫県浜坂道路	CMPL	20160809	ZE10	PP1115	P716103	20160809	164201	
0C1608011	小坂部発電所	CMPL	20160809	ZE10	PP1115	P716103	20160809	164514	
0C1608012	千葉バイオガスセンター	CMPL	20160810	ZE10	PP1115	P716103	20160810	110239	
0C1608013	新日鐵住金　八幡	CMPL	20160810	ZE10	PP1115	P716103	20160810	110340	
0C1608014	兵庫県新桃観電気棟	DLFL	20160810	ZE10	PP1115	P716103	20160810	110435	
0C1608015	東電PG山梨総支社～早川第一変電所	CMPL	20160810	ZE10	PP1115	P716103	20160810	110516	
0C1608016	兵庫県対田電気棟	DLFL	20160810	ZE10	PP1115	P716103	20160810	110605	
0C1608017	兵庫県久谷電気棟	DLFL	20160810	ZE10	PP1115	P716103	20160810	110645	
0C1608018	市原火力発電合同会社	CMPL	20160817	ZE10	PP1115	P716103	20160817	124956	
0C1608019	市原火力発電合同会社	CMPL	20160817	ZE10	PP1115	P716103	20160817	125019	
0C1608020	相生発電所	CMPL	20160823	ZE10	PP1115	P716103	20160823	103237	
0C1608021	東部知多衛生組合	CMPL	20160823	ZE10	PP1115	P716103	20160823	103259	
0C1608022	関西某火力プラント	CMPL	20160824	ZE10	PP1115	P716103	20160824	093412	
0C1608023	関西某火力プラント	CMPL	20160824	ZE10	PP1115	P716103	20160824	093438	
0C1608024	利根川　WSR-48-503	CMPL	20160825	ZE10	PP1115	P716103	20160825	152141	
0C1608025	周南市防災無線用直流電源装置（親局用）	CMPL	20160825	ZE10	PP1115	P716103	20160825	152203	
0C1608026	周南市殿向け防災無線用直流電源装置(中継局用）	CMPL	20160825	ZE10	PP1115	P716103	20160825	152226	
0C1608027	東北電力新仙台ローリー	CMPL	20160825	ZE10	PP1115	P716103	20160825	152246	
0C1608028	パナソニック四日市工場	CMPL	20160906	ZE10	PP1115	P716103	20160906	151846	
0C1608029	北電産業アーバンプレイス	CMPL	20160829	ZE10	PP1115	P716103	20160829	101332	
0C1608030	水資源市下久保ダム	CMPL	20160829	ZE10	PP1115	P716103	20160829	101350	
0C1608031	大分川ダム受変電設備外設置工事	CMPL	20160829	ZE10	PP1115	P716103	20160829	101413	
0C1608032	福島復興電源ﾌﾟﾛｼﾞｪｸﾄ（勿来）	CMPL	20160830	ZE10	PP1115	P716103	20160830	105037	
0C1608033	福島復興電源ﾌﾟﾛｼﾞｪｸﾄ（勿来）	CMPL	20160830	ZE10	PP1115	P716103	20160830	105054	
0C1608034	福島復興電源ﾌﾟﾛｼﾞｪｸﾄ（広野）	CMPL	20160830	ZE10	PP1115	P716103	20160830	105111	
0C1608035	福島復興電源ﾌﾟﾛｼﾞｪｸﾄ（広野）	CMPL	20160830	ZE10	PP1115	P716103	20160830	105130	
0C1608036	滝沢村	CMPL	20160830	ZE10	PP1115	P716103	20160830	105150	
0C1608037	滝沢村太陽光発電所	CMPL	20160830	ZE10	PP1115	P716103	20160830	105228	
0C1608038	企寒第48号桜山ﾎﾟﾝﾌﾟ所無停電電源装置更新工事	CMPL	20160831	ZE10	PP1115	P716103	20160831	093515	
0C1608039	上伊那広域連合　新ごみ中間処理施設建設工事	CMPL	20160901	ZE10	PP1115	P716103	20160901	111757	
0C1608040	東京農工大学府中	CMPL	20160901	ZE10	PP1115	P716103	20160901	111822	
0C1609001	空港諸施設直流電源措置更新工事（H28）	CMPL	20160902	ZE10	PP1115	P716103	20160902	130254	
0C1609002	三菱マテリアル秋田製錬所	CMPL	20160905	ZE10	PP1115	P716103	20160905	153540	
0C1609003	萩市防災無線用直流電源装置	CMPL	20160905	ZE10	PP1115	P716103	20160905	153601	
0C1609004	高槻市ｸﾘｰﾝｾﾝﾀｰ	CMPL	20160906	ZE10	PP1115	P716103	20160906	151921	
0C1609005	中国電力岡山営業所	CMPL	20160906	ZE10	PP1115	P716103	20160906	151940	
0C1609006	みよし市福田第2ポンプ場	CMPL	20160906	ZE10	PP1115	P716103	20160906	152001	
0C1609007	東電PG新栃木総支社～新栃木変電所	CMPL	20160907	ZE10	PP1115	P716103	20160907	092749	
0C1609008	来間島向け直流電源装置	CMPL	20160907	ZE10	PP1115	P716103	20160907	092811	
0C1609009	東電PG栃木北支社～大田原変電所	CMPL	20160909	ZE10	PP1115	P716103	20160909	092924	
0C1609011	宮崎県企業局　三財発電所	CMPL	20160913	ZE10	PP1115	P716103	20160913	143148	
0C1609012	ソニー厚木　101号館リニューアル工事	CMPL	20160913	ZE10	PP1115	P716103	20160913	143615	
0C1609013	東電PG千葉総支社～椎津変電所	CMPL	20160913	ZE10	PP1115	P716103	20160913	143634	
0C1609014	サングレイン殿MP電気室	CMPL	20160914	ZE10	PP1115	P716103	20160914	151026	
0C1609015	牧之原電源盤	CMPL	20160916	ZE10	PP1115	P716103	20160916	162736	
0C1609016	東電PG湊町変電所　SID修理	CMPL	20160916	ZE10	PP1115	P716103	20160916	162756	
0C1609017	㈱NUC川崎工業所　VPE増強	CMPL	20160920	ZE10	PP1115	P716103	20160920	105259	
0C1609020	東電PG栃木北支社～大田原変電所	CMPL	20160923	ZE10	PP1115	P716103	20160923	093744	
0C1609021	北陸電力熊坂発電所	CMPL	20160926	ZE10	PP1115	P716103	20160926	170653	
0C1609022	宇部興産　伊佐ｾﾒﾝﾄ工場	CMPL	20160926	ZE10	PP1115	P716103	20160926	170709	
0C1609023	福岡第二法務総合庁舎	CMPL	20160928	ZE10	PP1115	P716103	20160928	104218	
0C1609025	首都高横浜環状北西線	CMPL	20160930	ZE10	PP1115	P716103	20160930	101829	
0C1609026	関西電力姫路第一発電所5号	CMPL	20160930	ZE10	PP1115	P716103	20160930	101859	
0C1609027	東電PG埼玉総支社～北熊谷変電所	CMPL	20160930	ZE10	PP1115	P716103	20160930	101922	
0C1609028	新日鉄住金戸畑3CC	CMPL	20161003	ZE10	PP1115	P716103	20161003	135400	
0C1610001	東電PG木更津支社～内房変電所	DLFL	20161003	ZE10	PP1115	P716103	20161003	135417	
0C1610002	日本合成化学水島	CMPL	20161004	ZE10	PP1115	P716103	20161004	101448	
0C1610003	JAXA種子島宇宙センター	CMPL	20161004	ZE10	PP1115	P716103	20161004	101512	
0C1610004	JAXA種子島宇宙センター	CMPL	20161004	ZE10	PP1115	P716103	20161004	101528	
0C1610005	東電PG東京総支社～蔵前変電所MCCB変更改造	DLFL	20161005	ZE10	PP1115	P716103	20161005	111445	
0C1610006	㈱大東　富永様　ご指示分	CMPL	20161006	ZE10	PP1115	P716103	20161006	170224	
0C1610007	東電PG川崎支社～南部変電所	CMPL	20161006	ZE10	PP1115	P716103	20161006	170245	
0C1610008	JAXA種子島	CMPL	20161006	ZE10	PP1115	P716103	20161006	170257	
0C1610009	新日鉄住金㈱広畑向け直流電源装置	CMPL	20161013	ZE10	PP1115	P716103	20161013	142358	
0C1610010	福井国家石油備蓄基地	CMPL	20161013	ZE10	PP1115	P716103	20161013	142417	
0C1610011	東電PG大月支社～東山梨変電所	DLFL	20161013	ZE10	PP1115	P716103	20161013	142437	
0C1610012	延岡河川国道事務所　延岡高速道路維持出張所	CMPL	20161013	ZE10	PP1115	P716103	20161013	142458	
0C1610013	九州電力㈱　早岐変電所	CMPL	20161013	ZE10	PP1115	P716103	20161013	142513	
0C1610014	九州電力　京泊変電所	CMPL	20161013	ZE10	PP1115	P716103	20161013	142530	
0C1610015	パナソニック新井	CMPL	20161014	ZE10	PP1115	P716103	20161014	151738	
0C1610016	尻別風力発電所	CMPL	20161014	ZE10	PP1115	P716103	20161014	151804	
0C1610017	住金海南	CMPL	20161018	ZE10	PP1115	P716103	20161018	165059	
0C1610018	東部知多衛生組合	CMPL	20161018	ZE10	PP1115	P716103	20161018	165117	
0C1610019	CLM直流電源装置更新	DLFL	20161019	ZE10	PP1115	P716103	20161019	160514	
0C1610020	長野広域連合ゴミ処理	CMPL	20161020	ZE10	PP1115	P716103	20161020	165626	
0C1610021	廿日市　次期一般廃棄物処理	CMPL	20161020	ZE10	PP1115	P716103	20161020	165644	
0C1610022	北陸電力　青島/九条/吉野谷/手取川/牧	CMPL	20161020	ZE10	PP1115	P716103	20161020	165704	
0C1610023	エチオピア　ポータブル地熱発電	CMPL	20161020	ZE10	PP1115	P716103	20161020	165720	
0C1610024	山形エネルギー回収施設建設工事	CMPL	20161021	ZE10	PP1115	P716103	20161021	114008	
0C1610025	パナソニックシステムワークス関西社防災無線	CMPL	20161031	ZE10	PP1115	P716103	20161031	154205	
0C1611001	エネルギアコム新ビル	CMPL	20161104	ZE10	PP1115	P716103	20161104	141729	
0C1611003	九州電力　京泊変電所	CMPL	20161104	ZE10	PP1115	P716103	20161104	141803	
0C1611004	中国電力笠原変電所	CMPL	20161104	ZE10	PP1115	P716103	20161104	141821	
0C1611005	ＴＩＳ東京	CMPL	20161104	ZE10	PP1115	P716103	20161104	141837	
