分類	転記日付	指図	WBS要素	販売伝票	販売伝票明細	購買発注	移動タイプ	取引区分	品目コード	品目テキスト	品目タイプ	プラント	保管場所	借方貸方	指図タイプ	指図タイプ名	指図カテゴリ	MRP管理者	MRP管理者名	項目	工場	区分	タイプ	計画承認日	計画開始	計画終了	数量	実績原価	実績正味原価	実績副資材	当月副資材	実績間接費	当月間接費	製品金額	実績原価ORG	実績正味原価ORG	実績副資材ORG	当月副資材ORG	実績間接費ORG	当月間接費ORG	製品金額ORG	有効価格なし	逆ザヤ	入出庫伝票番号	入出庫伝票年	連番	登録日付	登録時刻	ユーザ名
01.製造完成	20250801	40159447	M-0331916-20	331916	000020		582	WA	A00A2043200	RCC-AL3-DD-HDE-R	UNBW	P100	1911	H	ZPS2	プロジェクト電源（活動割当）	20	CG0	富士電工 S	組外	滋賀	大型	一品	20250417	20250417	20250808	-1.000	-4982056.000	-4982056.000	-61977.000	0.000	-1081423.000	0.000	-7600000.000	-4982056.000	-4982056.000	-61977.000	0.000	-1081423.000	0.000	-7600000.000			4908279708	2025	0001	20250801	161654	SISSYS
01.製造完成	20250804	10132876					101	WF	A6A862600	IDKS-40-200T3 L67-70L	FERT	P100	1911	S	ZP10	電源	10	B10	小型１号ライン	小型(内作)	大阪	小型	製作	20250723	20250723	20250805	8.000	3000824.000	3068893.000	12485.000	0.000	948754.000	0.000	3432000.000	3000824.000	3068893.000	12485.000	0.000	948754.000	0.000	3432000.000			5003000838	2025	0001	20250804	171710	SISSYS
01.製造完成	20250805	10132962					101	WF	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	FERT	P100	1911	S	ZP10	電源	10	B10	小型１号ライン	小型(内作)	大阪	小型	製作	20250724	20250724	20250805	1.000	65613.000	87842.000	0.000	0.000	4311.000	0.000	92000.000	65613.000	87842.000	0.000	0.000	4311.000	0.000	92000.000			5003000965	2025	0001	20250805	112002	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000957	2025	0001	20250805	112001	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000963	2025	0001	20250805	112002	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000959	2025	0001	20250805	112001	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000958	2025	0001	20250805	112001	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000960	2025	0001	20250805	112001	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000961	2025	0001	20250805	112001	SISSYS
01.製造完成	20250805	10133005					101	WF	A00A1245100	HKD-RE PANEL	FERT	P100	1911	S	ZP10	電源	10	B55	小型５号ライン	小型(内作)	大阪	小型	製作	20250722	20250722	20250807	1.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000	32392.000	31865.500	132.900	0.000	9964.800	0.000	33000.000			5003000962	2025	0001	20250805	112002	SISSYS
