プラント	保管場所	品目コード	品目テキスト	指図番号	指図タイプ	MRP管理者	指図数量	実績数量	累計数量	残数量	入力日時	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	1120	P00A0761500	WK-7615A     AC TIG CTRL	50120236	ZP11	PC1	1	1	1	0	2025/08/01 08:59	20250728		0000000000	000000
P100	1120	P0A574600	MK-5746A     RC PANEL	50120095	ZP11	PC1	20	20	20	0	2025/08/01 08:59	20250804		0000000000	000000
P100	1120	P0A245601	MK-2456A S01  PR CONTRL	50120155	ZP11	PC1	8	8	8	0	2025/08/01 09:00	20250731		0000000000	000000
P100	1120	P0A277000	MK-2770A  MRS-PR THY GATE	50120072	ZP11	PC1	8	8	8	0	2025/08/01 09:01	20250731		0000000000	000000
P100	1120	P0A265904	WK-2659F U04 ｼ-ｹﾝｽPCB	50120068	ZP11	PC1	1	1	1	0	2025/08/01 09:02	20250731		0000000000	000000
P100	1120	P0A488100	WK-4881      PILOT SW2	50120070	ZP11	PC1	4	4	4	0	2025/08/01 09:03	20250731		0000000000	000000
P100	1120	P0A210501	WK-2105 S01    ﾃﾞﾝｹﾞﾝ ｶｲﾛ	50120069	ZP11	PC1	2	2	2	0	2025/08/01 09:03	20250731		0000000000	000000
P100	1120	P00A0747201	PK-7472  U01 PANEL ﾙｯｸｽ	50119618	ZP11	PC6	70	70	70	0	2025/08/01 09:04	20250724		0000000000	000000
P100	1120	P00A0746902	PK-7469B U02 6.4KW ﾙｯｸｽ	50119616	ZP11	PC6	50	50	50	0	2025/08/01 09:05	20250724		0000000000	000000
P100	1120	P0A586300	IK-5863  LOWﾃﾞﾝｱﾂｹﾝｼｭﾂｶｲﾛ	50120012	ZP11	PC1	1	1	1	0	2025/08/01 09:05	20250804		0000000000	000000
P100	1120	P0A555000	WK-5550      FILTER PCB	50118856	ZP11	PC1	75	75	75	0	2025/08/01 09:06	20250728		0000000000	000000
P100	1120	P00A0738500	IK-7385A PCB	50119807	ZP11	PC1	1	1	1	0	2025/08/01 09:16	20250806		0000000000	000000
P100	1120	PZZA0265813	WK-2658C U13	50120067	ZP11	PC1	2	2	2	0	2025/08/01 09:16	20250731		0000000000	000000
P100	1120	97K162000	YPK-1620A	50120125	ZP11	PC1	1	1	1	0	2025/08/01 10:15	20250807		0000000000	000000
P100	1120	P00A0716044	IK-7160C U44 CAS300M12BM2	50120276	ZP11	PC1	1	1	1	0	2025/08/01 10:36	20250730		0000000000	000000
P100	1120	P0A344825	WK-3448 S25   MAIN PCB	50119880	ZP11	PC1	25	1	25	0	2025/08/01 10:55	20250818		0000000000	000000
P100	1120	P0A435601	CK-4356 S01	50120134	ZP11	PC1	1	1	1	0	2025/08/01 11:07	20250807		0000000000	000000
P100	1210	J00A4533900	端子支持金具 F-32X6	10133607	ZP10	CC0	6	6	6	0	2025/08/01 11:28	20250623		0000000000	000000
P100	1210	J00B1130500	PCB取付板	10133428	ZP10	CC0	10	10	10	0	2025/08/01 11:29	20250902		0000000000	000000
P100	1120	P00A0717122	MK-7171D U22 (MK691 SD9)	50120059	ZP11	PC1	8	8	8	0	2025/08/01 11:32	20250827		0000000000	000000
P100	1120	P00A0728802	WK-7288  U02 PLASMA PANEL	50120063	ZP11	PC1	3	3	3	0	2025/08/01 12:13	20250731		0000000000	000000
P100	1120	P0A569600	WK-5696    CNCTR(J)ROHS	50119358	ZP11	PC1	88	88	88	0	2025/08/01 13:43	20250807		0000000000	000000
P100	1120	P00A0747002	PK-7470B U02 6.4KW ﾙｯｸｽ	50119617	ZP11	PC6	50	50	50	0	2025/08/01 16:12	20250724		0000000000	000000
P100	1120	P0A596901	IK-5969S01    DRIVE PCB	50120154	ZP11	PC1	2	2	2	0	2025/08/01 16:38	20250725		0000000000	000000
P100	1120	P0A549300	WK-5493E     MAIN PCB C	50120079	ZP11	PC5	100	42	42	58	2025/08/04 09:42	20250826		0000000000	000000
P100	1210	EFA816002	80V-300A(UNIT) ﾌｨﾝ構成表	10133545	ZP10	CE0	3	3	3	0	2025/08/04 10:15	20250828		0000000000	000000
P100	1210	ECA548800	SCRﾌｨﾝ3	10133251	ZP10	CE0	15	15	15	0	2025/08/04 10:16	20250731		0000000000	000000
P100	1210	EEA557500	FIN ME9*120	10132956	ZP10	CE0	12	12	12	0	2025/08/04 11:02	20250826		0000000000	000000
P100	1210	EEA557400	FIN3	10132955	ZP10	CE0	12	12	12	0	2025/08/04 11:03	20250826		0000000000	000000
P100	1120	P00A0745800	WK-7458A     CTRL REACH	50120169	ZP11	PC1	1	1	1	0	2025/08/04 11:19	20250729		0000000000	000000
P100	1120	P0A597600	WK-5976A  CO2/MAG MOTOR	50119428	ZP11	PC1	50	50	50	0	2025/08/04 11:39	20250804		0000000000	000000
P100	1120	P00A0734423	IK-7344B U23	50120123	ZP11	PC1	1	1	1	0	2025/08/04 11:48	20250820		0000000000	000000
P100	1120	P0A603200	WK-6032B     RELLAY_PCB	50119884	ZP11	PC1	12	12	12	0	2025/08/04 12:02	20250918		0000000000	000000
P100	1120	PZZA0563007	WK-5630B S07 FILTER 200V	50120065	ZP11	PC1	2	2	2	0	2025/08/04 12:17	20250731		0000000000	000000
P100	1120	P0A611600	WK-6116B     CO2 CONTROL	50119366	ZP11	PC1	50	48	48	2	2025/08/04 15:55	20250805		0000000000	000000
P100	1210	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	10133236	ZP10	CE0	1	1	1	0	2025/08/04 16:10	20250618		0000000000	000000
