プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	B50	10132651	0010	0015143854	メイン部品払出	CW010	SN	A00A1311100	KTA2F2-80-300VCT1	2	2		20250822		0000000000	000000
P100	ZP10	B50	10132651	0020	0015143855	部品仕分け	C0931	SN	A00A1311100	KTA2F2-80-300VCT1	2	2		20250822		0000000000	000000
P100	ZP10	B50	10132651	0030	0015143856	総合組立	C0921	MSN	A00A1311100	KTA2F2-80-300VCT1	2	2	3000	20250822		0000000000	000000
P100	ZP10	B50	10132651	0040	0015143857	製品検査	C0953	SN	A00A1311100	KTA2F2-80-300VCT1	2	2	120	20250822		0000000000	000000
P100	ZP10	B50	10132651	1000	0015143858	出荷検査	C0960	SN	A00A1311100	KTA2F2-80-300VCT1	2			20250822		0000000000	000000
P100	ZP10	B50	10132651	1030	0015143859	組立小型手直(自責)	CZ030	SNF	A00A1311100	KTA2F2-80-300VCT1	2			20250822		0000000000	000000
P100	ZP10	B50	10132651	1040	0015143860	組立小型手直(他責)	CZ040	SNF	A00A1311100	KTA2F2-80-300VCT1	2			20250822		0000000000	000000
P100	ZP10	B50	10132651	1050	0015143861	検査手直し(自責)	C0970	SNF	A00A1311100	KTA2F2-80-300VCT1	2			20250822		0000000000	000000
P100	ZP10	B50	10132651	1060	0015143862	検査手直し(他責)	C0980	SNF	A00A1311100	KTA2F2-80-300VCT1	2			20250822		0000000000	000000
P100	ZP10	B50	10132652	0010	0015143863	メイン部品払出	CW010	SN	U00A0192301	80V-300A T1(UNIT)	2	2		20250804		0000000000	000000
P100	ZP10	B50	10132652	0020	0015143864	部品仕分け	C0931	SN	U00A0192301	80V-300A T1(UNIT)	2	2		20250804		0000000000	000000
P100	ZP10	B50	10132652	0030	0015143865	総合組立	C0921	MSN	U00A0192301	80V-300A T1(UNIT)	2	2	3115	20250804		0000000000	000000
P100	ZP10	B50	10132652	0040	0015143866	製品検査	C0953	SN	U00A0192301	80V-300A T1(UNIT)	2	2	400	20250804		0000000000	000000
P100	ZP10	B50	10132652	1000	0015143867	出荷検査	C0960	SN	U00A0192301	80V-300A T1(UNIT)	2			20250804		0000000000	000000
P100	ZP10	B50	10132652	1030	0015143868	組立小型手直(自責)	CZ030	SNF	U00A0192301	80V-300A T1(UNIT)	2			20250804		0000000000	000000
P100	ZP10	B50	10132652	1040	0015143869	組立小型手直(他責)	CZ040	SNF	U00A0192301	80V-300A T1(UNIT)	2			20250804		0000000000	000000
P100	ZP10	B50	10132652	1050	0015143870	検査手直し(自責)	C0970	SNF	U00A0192301	80V-300A T1(UNIT)	2			20250804		0000000000	000000
P100	ZP10	B50	10132652	1060	0015143871	検査手直し(他責)	C0980	SNF	U00A0192301	80V-300A T1(UNIT)	2			20250804		0000000000	000000
P100	ZP10	B55	10132831	0010	0015243166	メイン部品払出	CW010	SN	A2A737100	RS-15010AY5 10M	1	1		20250807		0000000000	000000
P100	ZP10	B55	10132831	0020	0015243167	部品仕分け	C0931	SN	A2A737100	RS-15010AY5 10M	1	1		20250807		0000000000	000000
P100	ZP10	B55	10132831	0022	0015243168	外注加工(スクリーン印刷)	C0922	SG	A2A737100	RS-15010AY5 10M	1			20250807		0000000000	000000
P100	ZP10	B55	10132831	0030	0015243169	外注加工	C0922	SN	A2A737100	RS-15010AY5 10M	1			20250807		0000000000	000000
