ROWNO	MARA_MATNR	MARA_MTART	MAKT_MAKTX	MARC_WERKS	MDMA_BERID	MDEZ_DAT00	MDEZ_DELKZ	MDEZ_DELB0	MDEZ_EXTRA	MDEZ_UMDAT	MDEZ_AUSKT	MDEZ_MNG01	MDEZ_MNG02	MDEZ_LGORT	RESB_RSNUM	RESB_BAUGR	RESB_AUFNR	PLAF_PLNUM	EKKO_EBELN	EKPO_LEWED	EKET_EINDT	VBAP_VBELN	VBAP_POSNR	LIPS_VBELN	LIPS_POSNR	ROWNO_FR	ROWNO_TO
0000000001	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250804	WB	ç›å…		00000000		30.000	30.000		0000000000					00000000	00000000		000000		000000	0000000000	0000000000
0000000002	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250716	AR	ì¸èoó\	P0A327903	00000000		-28.000	2.000	1220	0008108160	P0A327903	000050120196			00000000	00000000		000000		000000	0000000000	0000000000
0000000003	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250729	BE	çwî≠íç	4502410400/00010	20250801	15	30.000	32.000	1220	0000000000				4502410400	20251104	20250725		000000		000000	0000000000	0000000000
0000000004	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250801	SB	è]èäóv	P0A327903	00000000		-4.000	28.000	1220	0008162461	P0A327903		0012999302		00000000	00000000		000000		000000	0000000000	0000000000
0000000005	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250828	SB	è]èäóv	P0A327903	00000000		-4.000	24.000	1220	0008162463	P0A327903		0012999303		00000000	00000000		000000		000000	0000000000	0000000000
0000000006	11230003101	ROH	LA25NP/SP11 1A 25MA	P100	P100_1220	20250925	SB	è]èäóv	P0A327903	00000000		-8.000	16.000	1220	0008124273	P0A327903		0012981791		00000000	00000000		000000		000000	0000000000	0000000000
0000000007	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250804	WB	ç›å…		00000000		43.000	43.000		0000000000					00000000	00000000		000000		000000	0000000000	0000000000
0000000008	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250723	UR	ì]ëó	0008163827/0100	00000000		300.000	343.000	1220	0008163827					00000000	00000000		000000		000000	0000000000	0000000000
0000000009	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250723	AR	ì¸èoó\	P0A618900	00000000		-300.000	43.000	1220	0008149795	P0A618900	000050120280			00000000	00000000		000000		000000	0000000000	0000000000
0000000010	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250828	UR	ì]ëó	0008163828/0100	00000000		100.000	143.000	1220	0008163828					00000000	00000000		000000		000000	0000000000	0000000000
0000000011	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250828	SB	è]èäóv	P0A618900	00000000		-90.000	53.000	1220	0008153738	P0A618900		0012996729		00000000	00000000		000000		000000	0000000000	0000000000
0000000012	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250910	UR	ì]ëó	0008170055/0100	00000000		100.000	153.000	1220	0008170055					00000000	00000000		000000		000000	0000000000	0000000000
0000000013	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20250910	SB	è]èäóv	P0A618900	00000000		-120.000	33.000	1220	0008170052	P0A618900		0013001910		00000000	00000000		000000		000000	0000000000	0000000000
0000000014	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20251107	UR	ì]ëó	0008173437/0100	00000000		100.000	133.000	1220	0008173437					00000000	00000000		000000		000000	0000000000	0000000000
0000000015	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20251107	SB	è]èäóv	P0A618900	00000000		-90.000	43.000	1220	0008173430	P0A618900		0013003064		00000000	00000000		000000		000000	0000000000	0000000000
0000000016	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20251208	UR	ì]ëó	0008173438/0100	00000000		100.000	143.000	1220	0008173438					00000000	00000000		000000		000000	0000000000	0000000000
0000000017	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20251208	SB	è]èäóv	P0A618900	00000000		-90.000	53.000	1220	0008173431	P0A618900		0013003065		00000000	00000000		000000		000000	0000000000	0000000000
0000000018	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20260107	UR	ì]ëó	0008173439/0100	00000000		100.000	153.000	1220	0008173439					00000000	00000000		000000		000000	0000000000	0000000000
0000000019	20552000200	HALB	B321010 B3F6MM∂∏TYP Ω›Œﬂ≥4X4M*	P100	P100_1220	20260107	SB	è]èäóv	P0A618900	00000000		-120.000	33.000	1220	0008173432	P0A618900		0013003066		00000000	00000000		000000		000000	0000000000	0000000000
0000000020	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250804	WB	ç›å…		00000000		331.000	331.000		0000000000					00000000	00000000		000000		000000	0000000000	0000000000
0000000021	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250722	AR	ì¸èoó\	H3A685400	00000000		-24.000	307.000	1220	0008170433	H3A685400	000050120166			00000000	00000000		000000		000000	0000000000	0000000000
0000000022	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250723	AR	ì¸èoó\	P0A618900	00000000		-300.000	7.000	1220	0008149795	P0A618900	000050120280			00000000	00000000		000000		000000	0000000000	0000000000
0000000023	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250828	UR	ì]ëó	0008163831/0100	00000000		100.000	107.000	1220	0008163831					00000000	00000000		000000		000000	0000000000	0000000000
0000000024	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250828	SB	è]èäóv	P0A618900	00000000		-90.000	17.000	1220	0008153738	P0A618900		0012996729		00000000	00000000		000000		000000	0000000000	0000000000
0000000025	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250910	UR	ì]ëó	0008170056/0100	00000000		200.000	217.000	1220	0008170056					00000000	00000000		000000		000000	0000000000	0000000000
0000000026	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20250910	SB	è]èäóv	P0A618900	00000000		-120.000	97.000	1220	0008170052	P0A618900		0013001910		00000000	00000000		000000		000000	0000000000	0000000000
0000000027	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20251107	SB	è]èäóv	P0A618900	00000000		-90.000	7.000	1220	0008173430	P0A618900		0013003064		00000000	00000000		000000		000000	0000000000	0000000000
0000000028	20552000600	ROH	B3F1050 DC 30V 50MA 1∑∞	P100	P100_1220	20251208	UR	ì]ëó	0008173440/0100	00000000		100.000	107.000	1220	0008173440					00000000	00000000		000000		000000	0000000000	0000000000
