MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20250804		000010132876		A6A862600	IDKS-40-200T3 L67-70L	8	8.000	PC	P100	1911		X	5003000838	0001	101	F	S	375103.00000	3000824.00000	429000.00000	3432000.00000
B50	20250804		000010132652		U00A0192301	80V-300A T1(UNIT)	2	2.000	PC	P100	1210		X	5003000837	0001	101	F	S	736247.00000	1472494.00000	0.00000	0.00000
CC0	20250801		000010133607		J00A4533900	端子支持金具 F-32X6	6	6.000	PC	P100	1210		X	5003000163	0001	101	F	S	1606.00000	9636.00000	0.00000	0.00000
CC0	20250801		000010133428		J00B1130500	PCB取付板	10	10.000	PC	P100	1210		X	5003000165	0001	101	F	S	1257.00000	12570.00000	0.00000	0.00000
CE0	20250804		000010133236		E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1	1.000	PC	P100	1210		X	5003000770	0001	101	F	S	4592.00000	4592.00000	0.00000	0.00000
CE0	20250804		000010133237		E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4	4.000	PC	P100	1210		X	5003000771	0001	101	F	S	4614.00000	18456.00000	0.00000	0.00000
CE0	20250804		000010133251		ECA548800	SCRﾌｨﾝ3	15	15.000	PC	P100	1210		X	5003000420	0001	101	F	S	3280.00000	49200.00000	0.00000	0.00000
CE0	20250804		000010132955		EEA557400	FIN3	12	12.000	PC	P100	1210		X	5003000499	0001	101	F	S	1168.00000	14016.00000	0.00000	0.00000
CE0	20250804		000010132956		EEA557500	FIN ME9*120	12	12.000	PC	P100	1210		X	5003000498	0001	101	F	S	904.00000	10848.00000	0.00000	0.00000
CE0	20250804		000010133545		EFA816002	80V-300A(UNIT) ﾌｨﾝ構成表	3	3.000	SET	P100	1210		X	5003000419	0001	101	F	S	53066.00000	159198.00000	0.00000	0.00000
CG0	20250801	M-0331916-20	000040159447		A00A2043200	RCC-AL3-DD-HDE-R	1	-1.000	PC	P100	1911			4908279708	0001	582		H	5561250.00000	5561250.00000-	7600000.00000	7600000.00000-
PC1	20250801		000050120125		97K162000	YPK-1620A	1	1.000	PC	P100	1120		X	5003000102	0001	101	F	S	17188.00000	17188.00000	0.00000	0.00000
PC1	20250801		000050120276		P00A0716044	IK-7160C U44 CAS300M12BM2	1	1.000	PC	P100	1120		X	5003000113	0001	101	F	S	27745.00000	27745.00000	0.00000	0.00000
PC1	20250801		000050120059		P00A0717122	MK-7171D U22 (MK691 SD9)	8	8.000	PC	P100	1120		X	5003000164	0001	101	F	S	23643.00000	189144.00000	0.00000	0.00000
PC1	20250801		000050120063		P00A0728802	WK-7288  U02 PLASMA PANEL	3	3.000	PC	P100	1120		X	5003000178	0001	101	F	S	18218.00000	54654.00000	0.00000	0.00000
PC1	20250801		000050119807		P00A0738500	IK-7385A PCB	1	1.000	PC	P100	1120		X	5003000084	0001	101	F	S	30414.00000	30414.00000	0.00000	0.00000
PC1	20250801		000050120236		P00A0761500	WK-7615A     AC TIG CTRL	1	1.000	PC	P100	1120		X	5003000067	0001	101	F	S	9294.00000	9294.00000	0.00000	0.00000
PC1	20250801		000050120069		P0A210501	WK-2105 S01    ﾃﾞﾝｹﾞﾝ ｶｲﾛ	2	2.000	PC	P100	1120		X	5003000069	0001	101	F	S	4294.00000	8588.00000	0.00000	0.00000
PC1	20250801		000050120155		P0A245601	MK-2456A S01  PR CONTRL	8	8.000	PC	P100	1120		X	5003000071	0001	101	F	S	5572.00000	44576.00000	0.00000	0.00000
