分類	完成年月	月数	品目コード	品目テキスト	指図	保管場所	計画開始	計画終了	受注変更前計画終了	WBS要素	プラント	品目タイプ	MRP管理者	MRP管理者名	指図タイプ	指図タイプ名	指図カテゴリ	項目	工場	区分	タイプ	投入数	当月予定数	不良数	最大完成数	過去完成数累計	完成数	完成残数	計画原価	実績原価	原価差異	実績正味原価	正味原価差異	実績副資材	当月副資材	実績間接費	当月間接費	予定原価	不良原価	製品金額	製品残金額	製品不良金額	計画原価ORG	実績原価ORG	原価差異ORG	実績正味原価ORG	正味原価差異ORG	実績副資材ORG	当月副資材ORG	実績間接費ORG	当月間接費ORG	予定原価ORG	不良原価ORG	製品金額ORG	製品残金額ORG	製品不良金額ORG	材料原価	加工原価	経費原価	直接材料費	補助材料費	副資材費	外注加工費	労務費	間接費	設備費	経費	有効価格なし	逆ザヤ	販売伝票	販売伝票明細
07.部品売り	2025/08	 0	33324000100	T66C-C47 1ｿｳ 2P AC220V 50*D0A*		1910					P100	ROH	900	資材部			00	－	－	－	－	6.000	6.000	0.000	0.000	0.000	6.000	0.000	21000.000	21000.000	0.000	21000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41400.000	0.000	0.000	21000.000	21000.000	0.000	21000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41400.000	0.000	0.000	21000.000	0.000	0.000	21000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	33324000200	UTL807A 1ｿｳ 2P AC230V 50/*D0A*		1910					P100	ROH	900	資材部			00	－	－	－	－	6.000	6.000	0.000	0.000	0.000	6.000	0.000	7800.000	7800.000	0.000	7800.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15600.000	0.000	0.000	7800.000	7800.000	0.000	7800.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15600.000	0.000	0.000	7800.000	0.000	0.000	7800.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	33324000300	UTL927A 1ｿｳ 2P AC230V 50/*D0A*		1910					P100	ROH	900	資材部			00	－	－	－	－	12.000	12.000	0.000	0.000	0.000	12.000	0.000	17400.000	17400.000	0.000	17400.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34800.000	0.000	0.000	17400.000	17400.000	0.000	17400.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34800.000	0.000	0.000	17400.000	0.000	0.000	17400.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	34610000600	RPS-113511-101 ON3.5L/M ON3.5L/M OFF3.0L		1910					P100	ROH	900	資材部			00	－	－	－	－	2.000	2.000	0.000	0.000	0.000	2.000	0.000	2292.000	2292.000	0.000	2292.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4580.000	0.000	0.000	2292.000	2292.000	0.000	2292.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4580.000	0.000	0.000	2292.000	0.000	0.000	2292.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	41210217000	RV24YN  20S  B502(5K) 0.3W 5Kｵｰﾑ ｼﾔﾌﾄL=2		1910					P100	ROH	900	資材部			00	－	－	－	－	1.000	1.000	0.000	0.000	0.000	1.000	0.000	320.000	320.000	0.000	320.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	640.000	0.000	0.000	320.000	320.000	0.000	320.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	640.000	0.000	0.000	320.000	0.000	0.000	320.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	457200120	DF30AA120		1910					P100	FERT	900	資材部			00	－	－	－	－	2.000	2.000	0.000	0.000	0.000	2.000	0.000	1772.514	1772.514	0.000	1772.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3546.000	0.000	0.000	1772.514	1772.514	0.000	1772.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3546.000	0.000	0.000	711.748	478.452	582.314	640.562	71.186	478.452	45.658	429.052	105.036	2.568	0.000				
07.部品売り	2025/08	 0	56022041800	RAB2V-540 R1/4 ﾌﾞﾗｽ/SUS316 ﾘﾘ*		1910					P100	ROH	900	資材部			00	－	－	－	－	3.000	3.000	0.000	0.000	0.000	3.000	0.000	10890.000	10890.000	0.000	10890.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18000.000	0.000	0.000	10890.000	10890.000	0.000	10890.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18000.000	0.000	0.000	10890.000	0.000	0.000	10890.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	F3A449101	PT(210/3V) 1Φ		1910					P100	HALB	900	資材部			00	－	－	－	－	20.000	20.000	0.000	0.000	0.000	20.000	0.000	8742.860	8742.860	0.000	8742.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20000.000	0.000	0.000	8742.860	8742.860	0.000	8742.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20000.000	0.000	0.000	8742.860	0.000	0.000	8742.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
07.部品売り	2025/08	 0	P0A555000	WK-5550      FILTER PCB		1941					P100	HALB	PC1	PC製造			00	－	－	－	－	72.000	72.000	0.000	0.000	0.000	72.000	0.000	238608.000	238608.000	0.000	238608.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	238608.000	0.000	0.000	238608.000	238608.000	0.000	238608.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	238608.000	0.000	0.000	123049.512	0.000	115555.536	117571.536	5477.976	0.000	115555.536	0.000	0.000	0.000	0.000	X			
10.完成予定	2025/08	 3	A00A1201200	SW-V02    (REACH)	10130795	1911	20250804	20250820			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	15.000	15.000	0.000	0.000	0.000	0.000	15.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5338611.000	0.000	0.000	6150000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5338611.000	0.000	0.000	6150000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
