分類	転記日付	指図	WBS要素	販売伝票	販売伝票明細	購買発注	移動タイプ	取引区分	品目コード	品目テキスト	品目タイプ	プラント	保管場所	借方貸方	指図タイプ	指図タイプ名	指図カテゴリ	MRP管理者	MRP管理者名	項目	工場	区分	タイプ	計画承認日	計画開始	計画終了	数量	実績原価	実績正味原価	実績副資材	当月副資材	実績間接費	当月間接費	製品金額	実績原価ORG	実績正味原価ORG	実績副資材ORG	当月副資材ORG	実績間接費ORG	当月間接費ORG	製品金額ORG	有効価格なし	逆ザヤ	入出庫伝票番号	入出庫伝票年	連番	登録日付	登録時刻	ユーザ名
01.製造完成	20250801	40159447	M-0331916-20	331916	000020		582	WA	A00A2043200	RCC-AL3-DD-HDE-R	UNBW	P100	1911	H	ZPS2	プロジェクト電源（活動割当）	20	CG0	富士電工 S	組外	滋賀	大型	一品	20250417	20250417	20250808	-1.000	-4891274.000	-4891274.000	-61977.000	0.000	-1081423.000	0.000	-7600000.000	-4891274.000	-4891274.000	-61977.000	0.000	-1081423.000	0.000	-7600000.000			4908279708	2025	0001	20250801	161654	SISSYS
01.製造完成	20250804	10132876					101	WF	A6A862600	IDKS-40-200T3 L67-70L	FERT	P100	1911	S	ZP10	電源	10	B10	小型１号ライン	小型(内作)	大阪	小型	製作	20250723	20250723	20250805	8.000	3000824.000	3068893.000	12485.000	0.000	948754.000	0.000	3432000.000	3000824.000	3068893.000	12485.000	0.000	948754.000	0.000	3432000.000			5003000838	2025	0001	20250804	171710	SISSYS
02.12xx指図	20250801	10133428					101	WF	J00B1130500	PCB取付板	HALB	P100	1210	S	ZP10	電源	10	CC0	ケース	大型(ケース)	滋賀	大型	製作	20250827	20250827	20250902	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12570.000	19729.000	69.000	0.000	0.000	0.000	12570.000	X	X	5003000165	2025	0001	20250801	115403	SISSYS
02.12xx指図	20250801	10133607					101	WF	J00A4533900	端子支持金具 F-32X6	HALB	P100	1210	S	ZP10	電源	10	CC0	ケース	大型(ケース)	滋賀	大型	製作	20250617	20250617	20250623	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9636.000	2559.000	9.000	0.000	0.000	0.000	9636.000	X		5003000163	2025	0001	20250801	115403	SISSYS
02.12xx指図	20250801	50118856					101	WF	P0A555000	WK-5550      FILTER PCB	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250408	20250408	20250728	75.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	248550.000	292338.000	6713.000	0.000	0.000	0.000	248550.000	X	X	5003000076	2025	0001	20250801	091704	SISSYS
02.12xx指図	20250801	50119358					101	WF	P0A569600	WK-5696    CNCTR(J)ROHS	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250717	20250717	20250807	88.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	61336.000	49126.000	1058.000	0.000	0.000	0.000	61336.000	X		5003000212	2025	0001	20250801	134704	SISSYS
02.12xx指図	20250801	50119616					101	WF	P00A0746902	PK-7469B U02 6.4KW ﾙｯｸｽ	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC6	ルックス電子	組外	滋賀	大型	PC	20250515	20250515	20250724	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1003550.000	1165029.000	36901.000	0.000	0.000	0.000	1003550.000	X	X	5003000074	2025	0001	20250801	091703	SISSYS
02.12xx指図	20250801	50119617					101	WF	P00A0747002	PK-7470B U02 6.4KW ﾙｯｸｽ	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC6	ルックス電子	組外	滋賀	大型	PC	20250515	20250515	20250724	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1187250.000	1388908.000	45083.000	0.000	0.000	0.000	1187250.000	X	X	5003000278	2025	0001	20250801	161654	SISSYS
02.12xx指図	20250801	50119618					101	WF	P00A0747201	PK-7472  U01 PANEL ﾙｯｸｽ	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC6	ルックス電子	組外	滋賀	大型	PC	20250515	20250515	20250724	70.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	329840.000	410232.000	13605.000	0.000	0.000	0.000	329840.000	X	X	5003000075	2025	0001	20250801	091704	SISSYS
02.12xx指図	20250801	50119807					101	WF	P00A0738500	IK-7385A PCB	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250716	20250716	20250806	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30414.000	46742.000	1550.000	0.000	0.000	0.000	30414.000	X	X	5003000084	2025	0001	20250801	094659	SISSYS
02.12xx指図	20250801	50119880					101	WF	P0A344825	WK-3448 S25   MAIN PCB	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250818	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34801.000	34600.760	412.480	0.000	0.000	0.000	34801.000	X		5003000123	2025	0001	20250801	111722	SISSYS
02.12xx指図	20250801	50120012					101	WF	P0A586300	IK-5863  LOWﾃﾞﾝｱﾂｹﾝｼｭﾂｶｲﾛ	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250714	20250714	20250804	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9496.000	15627.000	358.000	0.000	0.000	0.000	9496.000	X	X	5003000066	2025	0001	20250801	091702	SISSYS
02.12xx指図	20250801	50120059					101	WF	P00A0717122	MK-7171D U22 (MK691 SD9)	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250731	20250731	20250827	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	189144.000	169347.000	3320.000	0.000	0.000	0.000	471072.000			5003000164	2025	0001	20250801	115403	SISSYS
02.12xx指図	20250801	50120063					101	WF	P00A0728802	WK-7288  U02 PLASMA PANEL	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	54654.000	48635.000	650.000	0.000	0.000	0.000	54654.000	X		5003000178	2025	0001	20250801	121724	SISSYS
02.12xx指図	20250801	50120067					101	WF	PZZA0265813	WK-2658C U13	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39196.000	45373.000	992.000	0.000	0.000	0.000	77600.000			5003000085	2025	0001	20250801	094659	SISSYS
02.12xx指図	20250801	50120068					101	WF	P0A265904	WK-2659F U04 ｼ-ｹﾝｽPCB	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31079.000	36195.000	666.000	0.000	0.000	0.000	56200.000			5003000068	2025	0001	20250801	091702	SISSYS
02.12xx指図	20250801	50120069					101	WF	P0A210501	WK-2105 S01    ﾃﾞﾝｹﾞﾝ ｶｲﾛ	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8588.000	13894.000	256.000	0.000	0.000	0.000	17796.000	X		5003000069	2025	0001	20250801	091702	SISSYS
02.12xx指図	20250801	50120070					101	WF	P0A488100	WK-4881      PILOT SW2	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41740.000	48274.000	685.000	0.000	0.000	0.000	83480.000			5003000070	2025	0001	20250801	091703	SISSYS
02.12xx指図	20250801	50120072					101	WF	P0A277000	MK-2770A  MRS-PR THY GATE	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250710	20250710	20250731	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	54128.000	49823.000	890.000	0.000	0.000	0.000	106176.000	X		5003000072	2025	0001	20250801	091703	SISSYS
02.12xx指図	20250801	50120095					101	WF	P0A574600	MK-5746A     RC PANEL	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250714	20250714	20250804	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	142420.000	147318.000	4885.000	0.000	0.000	0.000	142420.000	X	X	5003000073	2025	0001	20250801	091703	SISSYS
02.12xx指図	20250801	50120125					101	WF	97K162000	YPK-1620A	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250717	20250717	20250807	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17188.000	27779.000	598.000	0.000	0.000	0.000	17188.000	X	X	5003000102	2025	0001	20250801	101704	SISSYS
02.12xx指図	20250801	50120134					101	WF	P0A435601	CK-4356 S01	HALB	P100	1120	S	ZP11	電源（PCB）	10	PC1	PC製造	組外	滋賀	大型	PC	20250717	20250717	20250807	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13944.000	15427.000	314.000	0.000	0.000	0.000	13944.000	X	X	5003000122	2025	0001	20250801	111721	SISSYS
