連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000001	0000000001		製造指図出庫	40156589	I-0326878-10-01-04		7870498-0068		A00A2020001	SRG30TG(入出力盤)			1.000	C28	2025/03/04	2025/09/17	0680		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	2.000	11.000	2.000	0.000																						2,843.000000	
0000000002	0000000002		製造指図出庫	40156591	I-0326878-10-01-05		7870500-0084		A00A2020002	SRG30TG(双方向変換器盤)			1.000	C28	2025/03/04	2025/09/17	0840		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000003	0000000003		製造指図出庫	40156570	I-0326876-10-01-04		7870473-0068		A00A2019801	SRG40TG(入出力盤)			1.000	C28	2025/03/04	2025/09/26	0680		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000004	0000000004		製造指図出庫	40156572	I-0326876-10-01-05		7870475-0086		A00A2019802	SRG40TG(双方向変換器盤)			1.000	C28	2025/03/04	2025/09/26	0860		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000005	0000000005		製造指図出庫	40156579	I-0326877-10-01-04		7870488-0062		A00A2019901	SRG40TG(入出力盤)			1.000	C28	2025/03/04	2025/10/10	0620		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000006	0000000006		製造指図出庫	40156581	I-0326877-10-01-05		7870490-0085		A00A2019902	SRG40TG(双方向変換器盤)			1.000	C28	2025/03/04	2025/10/10	0850		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000007	0000000007		製造指図出庫	40156598	I-0326879-10-01-04		7870507-0063		A00A2020101	SRG15TG(入出力盤)			1.000	C28	2025/03/04	2025/11/17	0630		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000008	0000000008		製造指図出庫	40156600	I-0326879-10-01-05		7870509-0083		A00A2020102	SRG15TG(双方向変換器盤)			1.000	C28	2025/03/04	2025/11/17	0830		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/03/04	1.000	11.000	1.000	0.000																						2,843.000000	
0000000009	0000000009		製造指図出庫	40154945	I-0316842-10-01-04		7847273-0108		A00A1954501	入出力盤			1.000	C28	2025/06/09	2025/10/08	1070		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/06/09	1.000	11.000	1.000	0.000																						2,843.000000	
0000000010	0000000010		製造指図出庫	40159633	G-0332291-10	332291-0010	7971066-0058		A00A1972900	SC2F6-240-1300V			1.000	C17	2025/07/14	2025/09/03	0570		26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/07/14	1.000	11.000	1.000	0.000																						2,843.000000	
