プラント	受注伝票番号	受注明細番号	請求伝票番号	請求明細番号	伝票タイプ	受注先コード	受注先名	品目コード	品目名	受注日	受注数	社内レート	指定納期日	営業所	営業グループ	営業員	品目階層	利益センタ	出荷伝票番号	出荷明細番号	請求済数	請求登録日	請求転記日	標準原価	材料費単価	建値単価	建値	単位	JPY契約換算金額	得意先発注番号	件名	出荷ポイント	入庫番号	販社／直販	直販/販社区分名	得意先グループ	CM記号	国名コード	関係会社コード	地域コード	ネットワーク／指図番号	WBS番号	TECO	COMP	製造時間（生産実績）	設計時間（生産実績）	検査時間（生産実績）	品目タイプ	製品単価	製品単価 社内レート	製品単価 単位	JPY製品換算単価	見積製造原価	見積製造原価 社内レート	見積製造原価 単位	JPY見積製造換算原価	材料費（設計予算：単価）	加工費（設計予算：単価）	購買伝票番号	購買伝票明細	SES請求単価	見積材費	見積材費 社内レート	見積材費 単位	JPY見積換算材費	JPY税換算金額	特裁番号	用途	エンドユーザコード	エンドユーザ名	国名コード（出荷先）	出荷先コード	出荷先名	出荷先住所	出庫転記日	条件グループ１	条件グループ２	用途コード	指定納品書区分	原価区分１	原価区分２	運賃	梱包費	搬入据付費	工事費	取説費用	立会費用	倉庫保管料	諸費用	販売手数料	特記事項	見積書番号	間接費キー	出荷先郵便番号	出荷先部署	出荷先電話番号	廃棄物引取
P200	0000346386	000010	0090857585	000011	Z010	1101569000	モリ電子工業（株）	S00A0080501	TMG3CQ60F5 LE	2025/07/24	50.000	 1.00000	2025/08/01	E200	E21	00005333	S31	P320020	0080919965	900001	50.000	2025/08/01	2025/08/01	23.9980	20.7580	32.00000	1600.00	JPY	1600	SAMPLE_00030899001	LIXIL　在庫あり202500016146データ不要	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	32.00000	1.00000	JPY	32.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	160		一般家電	2180210259	株式会社　ＬＩＸＩＬ　知多工場　	JP	2180210663	株式会社LIXIL 知多工場	愛知県知多市北浜町25-7　 知多工場第2製造棟西受入電装工程	2025/08/01			S90	3			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	202500016146データ不要2025/08/01			4788505	電装技術課 電装技術T 三井志保	0562-40-4571	
P200	0000346387	000010	0090857586	000011	Z010	1101569000	モリ電子工業（株）	S00A0081901	TMG8CQ60F5 LE	2025/07/24	50.000	 1.00000	2025/08/01	E200	E21	00005333	S31	P320020	0080919966	900001	50.000	2025/08/01	2025/08/01	31.0160	24.0930	23.20000	1160.00	JPY	1160	SAMPLE_00030900001	LIXIL国内フォーミング品使用202500016146データ不要	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	23.20000	1.00000	JPY	23.2000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	116		一般家電	2180210259	株式会社　ＬＩＸＩＬ　知多工場　	JP	2180210663	株式会社LIXIL　知多工場	愛知県知多市北浜町25-7　 知多工場第2製造棟西受入電装工程	2025/08/01			S90	3			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	202500016146データ不要国内フォーミング品使用2025/08/01			4788505	電装技術課 電装技術T　三井志保	0562-40-4571	
P200	0000346388	000010	0090857587	000011	Z010	1101569000	モリ電子工業（株）	S00A0083301	TMG12CQ60F5 LE	2025/07/24	50.000	 1.00000	2025/08/01	E200	E21	00005333	S31	P320020	0080919967	900001	50.000	2025/08/01	2025/08/01	35.0010	26.0830	50.00000	2500.00	JPY	2500	SAMPLE_00030901001	LIXIL在庫あり202500016146データ不要	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	50.00000	1.00000	JPY	50.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	250		一般家電	2180210259	株式会社　ＬＩＸＩＬ　知多工場　	JP	2180210663	株式会社LIXIL　知多工場	愛知県知多市北浜町25-7　 知多工場第2製造棟西受入電装工程	2025/08/01			S90	3			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	202500016146データ不要2025/08/01			4788505	電装技術課 電装技術T　三井志保	0562-40-4571	
P200	0000346389	000010	0090857588	000011	Z010	1101569000	モリ電子工業（株）	S00A0084001	TMG16CQ60F5 LE	2025/07/24	50.000	 1.00000	2025/08/01	E200	E21	00005333	S31	P320020	0080919968	900001	50.000	2025/08/01	2025/08/01	39.7450	30.4580	57.00000	2850.00	JPY	2850	SAMPLE_00030902001	LIXIL営業間優先許可済み202500016146データ不要	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	57.00000	1.00000	JPY	57.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	285		一般家電	2180210259	株式会社　ＬＩＸＩＬ　知多工場　	JP	2180210663	株式会社LIXIL　知多工場	愛知県知多市北浜町25-7　 知多工場第2製造棟西受入電装工程	2025/08/01			S90	3			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	202500016146データ不要2025/08/01			4788505	電装技術課 電装技術T　三井志保	0562-40-4571	
P200	0000342675	000010	0090857589	000011	Z010	1100022000	旭テック（株）	4544C006000	TMG40C60J	2025/04/14	900.000	 1.00000	2025/08/08	E200	E21	00005185	S31	P320020	0080919998	900001	165.000	2025/08/01	2025/08/01	92.3590	63.3830	204.00000	33660.00	JPY	33660	095010176-1	株式会社ニプロン4ヶ月以上納期確認済み（お盆休みのため8/8）	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	204.00000	1.00000	JPY	204.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	3366		各種電源装置	2180207253	株式会社 ニプロン	JP	2100952000	旭テック株式会社	大阪府大阪市旭区大宮　４－２２－２２	2025/08/01			S30	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2025/08/08			5350002		06-6953-1141	
P200	0000343137	000010	0090857590	000011	Z010	1100022000	旭テック（株）	4549G1060U0	TMG2DQ60F2 LU	2025/04/28	100000.000	 1.00000	2025/08/30	E200	E21	00005185	S31	P320020	0080920206	900001	20000.000	2025/08/01	2025/08/01	26.1020	23.6860	18.00000	360000.00	JPY	360000	095010198-1	株式会社　レクザム4ヶ月以上納期確認済み	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	18.00000	1.00000	JPY	18.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	36000		一般家電	2103604000	株式会社レクザム　香川工場	JP	2100952000	旭テック株式会社	大阪府大阪市旭区大宮　４－２２－２２	2025/08/01			S90	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2025/8/30			5350002		06-6953-1141	
P200	0000346610	000010	0090857591	000011	Z010	1100022000	旭テック（株）	4544C008000	TMG40C80J	2025/07/31	20.000	 1.00000	2025/08/05	E200	E21	00005185	S31	P320020	0080920221	900001	20.000	2025/08/01	2025/08/01	99.0320	66.1420	204.00000	4080.00	JPY	4080	SAMPLE_095010465-1	202500016675データ不要	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	204.00000	1.00000	JPY	204.0000	0.00000	0.00000		0.0000	0.0000	0.0000		00000	0.00000	0.00000	0.00000		0.0000	408		各種電源装置	2180207253	株式会社 ニプロン	JP	2100952000	旭テック株式会社	大阪府大阪市旭区大宮　４－２２－２２	2025/08/01			S30	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	202500016675データ不要			5350002		06-6953-1141	
P200	0000342303	000010	0090857592	000011	Z010	1100022001	旭テック（株）　東京支店	456C60005	BKR400ABZ50 R	2025/04/04	100.000	 1.00000	2025/08/05	E200	E22	00004183	SC0	P321010	0080919276	900001	25.000	2025/08/01	2025/08/01	1495.7600	1217.3920	3370.00000	84250.00	JPY	84250	144000732-1	富士電機工業株式会社	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	3370.00000	1.00000	JPY	3370.0000	0.00000	0.00000		0.0000	1023.5300	430.6300		00000	0.00000	0.00000	0.00000		0.0000	8425		各種電源装置	2180216028	富士電機工業株式会社	JP	2100953000	旭テック株式会社　東京支店	東京都台東区台東1-24-2 ISM秋葉原 6F	2025/08/01			S30	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	20250805			1100016		03-3835-4881	
P200	0000342303	000010	0090857592	000012	Z010	1100022001	旭テック（株）　東京支店	456C60005	BKR400ABZ50 R	2025/04/04	100.000	 1.00000	2025/08/05	E200	E22	00004183	SC0	P321010	0080919276	900002	75.000	2025/08/01	2025/08/01	1495.7600	1217.3920	3370.00000	252750.00	JPY	252750	144000732-1	富士電機工業株式会社	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	3370.00000	1.00000	JPY	3370.0000	0.00000	0.00000		0.0000	1023.5300	430.6300		00000	0.00000	0.00000	0.00000		0.0000	25275		各種電源装置	2180216028	富士電機工業株式会社	JP	2100953000	旭テック株式会社　東京支店	東京都台東区台東1-24-2 ISM秋葉原 6F	2025/08/01			S30	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	20250805			1100016		03-3835-4881	
P200	0000342298	000010	0090857593	000011	Z010	1100022001	旭テック（株）　東京支店	452690120	DG20AAｰ120	2025/04/04	50.000	 1.00000	2025/08/05	E200	E22	00004183	S32	P321010	0080919277	900001	50.000	2025/08/01	2025/08/01	147.3130	118.1490	713.00000	35650.00	JPY	35650	112010574-1	スズデン株式会社　東京物流センター買掛管理課	D210					S	JP		8					             0.0000	             0.0000	             0.0000	FERT	713.00000	1.00000	JPY	713.0000	0.00000	0.00000		0.0000	44.7300	58.3100		00000	0.00000	0.00000	0.00000		0.0000	3565		太陽光発電	2180216943	スズデン株式会社	JP	2100953000	旭テック株式会社　東京支店	東京都台東区台東1-24-2 ISM秋葉原 6F	2025/08/01			SJ0	2			0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	20250805			1100016		03-3835-4881	
