プラント	品目コード	品目テキスト	所要量	保管場所	入出庫予定番号	入出庫予定明細番号	所要日付	移動タイプ	借方／貸方フラグ	基本数量単位	入力単位	原価センタ	テキスト_特記事項	G／L勘定コード	製造指図
P100	P0A455002	MK-4550B S02 RC I/F	1.000	1120	7443111	1	2022/09/01	201	H	PC	PC	716220	ｹﾝｻﾏﾂﾉ	416500	
P100	53692046400	KGTS-5K 7.5MM ﾅｲﾛﾝ66 ﾄﾘﾂｹｱﾅ4M*	3.000	1210	7643227	1	2023/02/06	201	H	PC	PC	716121	ｼﾞｸﾞｾｲｻｸﾖｳ	416500	
P100	63200100400	ﾉ-ﾒｯｸｽﾃ-ﾌﾟ5610 2MIL 19X50 ﾉ-ﾒ*	120.000	1213	7812840	1	2023/09/04	201	H	PC	PC	716170	ﾍﾝｱﾂ　ﾓﾘ	416500	
P100	E8A498800	ｼﾕﾂﾘﾖｸﾀﾝｼ	6.000	1210	7817320	1	2023/09/12	201	H	PC	PC	716121	ｾｲｿﾞｳ ｴﾄｳ	416500	
P100	N4A604400	ｱｰｽﾁｭｳｲﾗﾍﾞﾙ	60.000	1210	7852030	1	2023/11/21	201	H	PC	PC	716121	seizou eto	406500	
P100	N5A055900	CC-LINKﾗﾍﾞﾙ	30.000	1210	7852031	1	2023/11/21	201	H	PC	PC	716121	seizou eto	406500	
P100	26323013900	XM2S0913 ﾌｰﾄﾞ 5A #4-40UNC INC*	1.000	1210	7888878	1	2024/02/26	201	H	PC	PC	716220	ﾋﾝｼｮｳｻﾜｲ	416500	
P100	54201215700	TSE3975B ｼﾘｺﾝｺﾞﾑｸﾛ 100Gｲﾘ	10.000	1210	7963210	1	2024/06/03	201	H	PC	PC	716121	seizou eto	416500	
P100	632002001	ﾉｰﾒﾂｸｽ 0.13MM X 914MM NO410	430.000	1215	7981830	1	2024/09/19	201	H	M	M	716111	seizou eto	416500	
P100	52041211500	F-2WMF 1.25# 2C L= 5.3M	1.000	1210	7984383	1	2024/07/05	201	H	PC	PC	716050	ｺｳﾊﾞｲｶ	416500	
P100	43402237400	IPB017N10N5 VDS 100V VGS *D0A*	70.000	1121	8003378	1	2024/08/06	201	H	PC	PC	716150	PC  MARUOKA	416500	
P100	E00A5488800	EK-5900 IC2用絶縁ｼｰﾄ	192.000	1210	8009200	1	2024/08/23	201	H	PC	PC	716210	ﾋﾝｼｮｳ ﾋﾗﾉ	416500	
P100	52095912600	MVV-S 0.5# X 20C	2.100	1210	8042561	1	2024/10/25	201	H	M	M	716220	ﾋﾝｼｮｳｻﾜｲ(ｲｼｸﾞﾛ)	416500	
P100	52095912600	MVV-S 0.5# X 20C	2.100	1210	8042562	1	2024/10/25	201	H	M	M	716220	ﾋﾝｼｮｳｻﾜｲ(ｲｼｸﾞﾛ)	416500	
P100	P0A581000	HK-5810B US PANEL	1.000	1120	8061163	1	2024/12/20	201	H	PC	PC	716121	ｾｲｿﾞｳ　ｴﾄｳ	416500	
P100	N4A730300	PL ﾗﾍﾞﾙ	1.000	1210	8085897	1	2025/02/03	201	H	PC	PC	716121	nishide	416500	
P100	52095912600	MVV-S 0.5# X 20C	6.500	1210	8097551	1	2025/03/14	201	H	M	M	716220	ﾋﾝｼｮｳｻﾜｲMRTｼﾞｸﾞ	416500	
P100	53602009800	LH-3-5 ｽﾍﾟｰｻｰ ｶﾞｲｹｲ 3.3MM ﾀｶｻ*	31.000	1210	8098186	1	2025/03/11	201	H	PC	PC	716150	PC ASAHARA	416500	
P100	550161160	PWB WK-6116C PBF 1ﾁｮｳ	10.000	1121	8114859	1	2025/04/17	201	H	PC	PC	716151	PC  MARUOKA	416500	
P100	EEA220100	ﾜﾂｼﾔｰ  ROHS	50.000	1210	8153701	1	2025/06/04	201	H	PC	PC	716121	nishide	416500	
P100	55900800800	PWB  WK-5466E 1ﾁｮｳ  C1 J3	2.000	1121	8154338	1	2025/06/16	201	H	PC	PC	716151	PC  MARUOKA	416500	
P100	54201116000	G747 ｼﾘｺﾝｸﾞﾘｽ	20.000	1210	8160502	1	2025/06/19	201	H	PC	PC	716121	ニシデ	416500	
P100	52801115900	61045-2 ﾀﾌﾞ･ｱﾀﾞﾌﾟﾀｰ F187	1000.000	1210	8162411	1	2025/06/24	201	H	PC	PC	716121	ニシデ	416500	
P300	43401008600	CM100DU12H VCES 600V VGES  20*	3.000	3110	8162417	1	2025/07/04	911	H	PC	PC	SSS310	サービス課　1係 工場消耗部品（小寺）	705114	
P300	43401008600	CM100DU12H VCES 600V VGES  20*	3.000	3110	8162420	1	2025/07/04	911	H	PC	PC	SSS310	サービス課　1係 工場消耗部品（小寺）	705114	
P300	43401008600	CM100DU12H VCES 600V VGES  20*	3.000	3110	8162427	1	2025/07/04	911	H	PC	PC	SSS310	サービス課　1係　工場消耗部品（小寺）	705114	
P100	550161160	PWB WK-6116C PBF 1ﾁｮｳ	3.000	1121	8164610	1	2025/07/03	201	H	PC	PC	716150	pc asahara	416500	
P100	670441956	ﾎﾟﾘﾌﾞｸﾛ 6ｺﾞｳ 0.04X 90X150	300.000	1210	8169963	1	2025/07/09	201	H	PC	PC	716121	nishide	416500	
P100	670441957	ﾎﾟﾘﾌﾞｸﾛ 7ｺﾞｳ 0.04X 75X130	300.000	1210	8169964	1	2025/07/09	201	H	PC	PC	716121	nishide	416500	
P100	670441958	ﾎﾟﾘﾌﾞｸﾛ 8ｺﾞｳ 0.04X 50X 90	300.000	1210	8169965	1	2025/07/09	201	H	PC	PC	716121	nishide	416500	
