購買依頼,明細,購買ｸﾞﾙｰﾌﾟ,購買依頼者,品目コード,テキスト (短),追跡番号,品目ｸﾞﾙｰﾌﾟ,購買依頼数量,単位,依頼価格,通貨,標準原価,納入期日,固定仕入先,固定仕入先名称,希望仕入先,希望仕入先名称,勘定コード,原価センタ,受注番号,指図番号,WBS 要素,ネットワーク,受領者（理由）,メーカ名,図面番号,図面完成フラグ,図面改定記号,処理ステータス,自動発注,購買情報,購買発注,発注日付,入庫完了,指定納期,回答納期,材料費（設計予算）,加工費（設計予算）,登録者,削除,プラント固有ｽﾃｰﾀｽ,MRPﾀｲﾌﾟ,研究室／設計室,安全在庫,最小ﾛｯﾄｻｲｽﾞ,購買発注削除,備考,承認グループ,購買情報テキスト,見積書番号
0012720778,00010,,資材部,451Y91160,DD160KB160 X,,ZZF,1.000,PC,15.72,JPY,1571.525,20251114,,,,,,,,,00000000,,,,,,,,,,4502415607,20250724,,20251107,00000000,0,827,資材部,,,PD,L,0.000,0.000,,,,,
0010023376,00010,100,,ZSYURI02,HKD-15100AT30,,ZZZ,1.000,PC,1212.00,JPY,0.000,20090907,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000000766,,00000000,,,,,,,,X,5300085404,4500091333,20091020,,20090907,00000000,0,0,SD1019,,U,ND,N,0.000,0.000,L,,,,
0010023468,00010,100,,ZSYURI02,STW201D,,ZZZ,1.000,PC,20.00,JPY,0.000,20090818,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000000828,,00000000,,,,,,,,X,5300085404,4500091334,20091020,,20090818,00000000,0,0,SD1010,,U,ND,N,0.000,0.000,L,,,,
0010025365,00010,100,,ZSYURI02,STW200D,,ZZZ,1.000,PC,20.00,JPY,0.000,20090820,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000001086,,00000000,,,,,,,,X,5300085404,4500091335,20091020,,20090820,00000000,0,0,SD1010,,U,ND,N,0.000,0.000,L,,,,
0010025366,00010,100,,ZSYURI02,STW190,,ZZZ,1.000,PC,20.00,JPY,0.000,20090820,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000001089,,00000000,,,,,,,,X,5300085404,4500091336,20091020,,20090820,00000000,0,0,SD1010,,U,ND,N,0.000,0.000,L,,,,
0010027507,00010,100,,ZSYURI02,HKE-15300F RS485 ｼｭｳﾘ（FANｺｳｶﾝ),,ZZZ,1.000,PC,509.00,JPY,0.000,20090803,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000001166,,00000000,,,,,,,,X,5300085404,4500091339,20091020,,20090803,00000000,0,0,SD1022,,U,ND,N,0.000,0.000,L,,,,
0010032291,00010,100,,ZSYURI02,UF1-2250,,ZZZ,1.000,PC,50.00,JPY,0.000,20090827,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000001852,,00000000,,,,,,,,X,5300085404,4500091343,20091020,,20090827,00000000,0,0,SD1008,,U,ND,N,0.000,0.000,L,,,,
0010032431,00010,100,,ZSYURI02,UE1-2050ｼｭｳﾘ,,ZZZ,1.000,PC,360.00,JPY,0.000,20090826,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000001884,,00000000,,,,,,,,X,5300085404,4500091345,20091020,,20090826,00000000,0,0,SD1008,,U,ND,N,0.000,0.000,L,,,,
0010045334,00010,100,,ZSYURI02,HKD-810FUCL異常修理,,ZZZ,8.000,PC,500.00,JPY,0.000,20090819,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000002894,,00000000,,,,,,,,X,5300085404,4500091351,20091020,,20090819,00000000,0,0,SD1015,,U,ND,N,0.000,0.000,L,,,,
0010046889,00010,100,,ZSYUCYOU02,ﾃﾞﾝﾁｬｸﾃﾞﾝｹﾞﾝｶｲｿﾞｳ,,ZZZ,1.000,PC,0.00,JPY,0.000,20090824,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0005004195,,00000000,,,,,,,,X,5300085405,4500091361,20091020,,20090824,00000000,0,0,SD1035,,U,ND,N,0.000,0.000,L,,,,
0010054339,00010,100,,ZSYURI02,UF1-2350ｼｭｳﾘ,,ZZZ,1.000,PC,100.00,JPY,0.000,20090902,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000004171,,00000000,,,,,,,,X,5300085404,4500091374,20091020,,20090902,00000000,0,0,SD1008,,U,ND,N,0.000,0.000,L,,,,
0010054342,00010,100,,ZSYURI02,UF1-2250ｼｭｳﾘ,,ZZZ,1.000,PC,100.00,JPY,0.000,20090902,S00634,（株）三社エンジニアリングサービス,,,0000650302,,0000004176,,00000000,,,,,,,,X,5300085404,4500091375,20091020,,20090902,00000000,0,0,SD1008,,U,ND,N,0.000,0.000,L,,,,
0010285927,00001,101,,52100020300,AWG22 UL1007 ｸﾛ 0.33# ｸﾛ*,TJF7106,52,610.000,M,0.06,JPY,11.800,20100628,S00741,志村商事（株）,,,0000416500,0000716030,,,00000000,,Z,ﾄｳﾆﾁKC,,0,,,X,5300004177,4500282203,20100624,,20100628,20100625,7,0,PP1058,,,PD,L,1000.000,610.000,L,ｼｶﾞﾊｰﾈｽHIRAIﾚﾝﾗｸｽﾞﾐ,,,
0010291520,00010,101,資材部,ECA310800,ﾀﾞﾝﾈﾂｻﾞｲﾄﾘﾂｹ,,EE,10000000.000,PC,4.50,JPY,470.000,20100611,S00612,サンコーインダストリー（株）,,,,,,,00000000,,,ｻﾝｲﾝﾀﾞ,ECA310800,1,,承認完了,X,5300013191,4500288007,20100705,,20100611,00000000,495,0,資材部,,,PD,L,0.000,200.000,L,,G1,,
0010433060,00001,101,NAKAJIMA,68008005201,ﾒｯｷ ﾆｯｹﾙﾒｯｷ ROHSﾀｲｵｳﾋﾝ,TQG0504,68,68.000,KG,4.00,JPY,160.000,20110308,S00743,清水長金属工業（株）,S00743,清水長金属工業（株）,0000416500,0000716070,,,00000000,,Z,ｼﾐｽﾞﾁﾖ,,0,,承認完了,X,5300054547,4500459261,20110428,,20110308,00000000,132,0,PP1051,,,ND,N,0.000,0.000,L,NAKAJIMA TQG0504,G4,,
0010436493,00001,101,NAKAJIMA,68008005201,ﾒｯｷ ﾆｯｹﾙﾒｯｷ ROHSﾀｲｵｳﾋﾝ,TQG0510,68,17.000,KG,4.00,JPY,160.000,20110308,S00743,清水長金属工業（株）,S00743,清水長金属工業（株）,0000416500,0000716070,,,00000000,,Z,ｼﾐｽﾞﾁﾖ,,0,,,X,5300054547,4500459265,20110428,,20110308,00000000,132,0,PP1051,,,ND,N,0.000,0.000,L,NAKAJIMA TQG0510,,,
0010436494,00001,101,NAKAJIMA,68008005201,ﾒｯｷ ﾆｯｹﾙﾒｯｷ ROHSﾀｲｵｳﾋﾝ,TQG0511,68,17.000,KG,4.00,JPY,160.000,20110308,S00743,清水長金属工業（株）,S00743,清水長金属工業（株）,0000416500,0000716070,,,00000000,,Z,ｼﾐｽﾞﾁﾖ,,0,,,X,5300054547,4500459266,20110428,,20110308,00000000,132,0,PP1051,,,ND,N,0.000,0.000,L,NAKAJIMA TQG0511,,,
0011191544,00001,101,NAKAJIMA,620240129,ｺｳﾊﾝ1219X2438 3.2T SPCC,TQT0782,62,1987.000,KG,0.96,JPY,159.000,20120404,S00366,魚住鉄鋼（株）,S00366,魚住鉄鋼（株）,0000705114,0000716070,,,00000000,,Z,ｳｵｽﾞﾐT,,0,,承認完了,X,5300037919,4500869024,20120404,,20120404,20120404,106,0,PP1051,,,ND,L,0.000,0.000,L,NAKAJIMA TQT0782,G4,,
0012368094,00010,101,資材部,012170390,S1D1B0006    ｹｰｽ SQD50BB,,01,2000.000,PC,0.05,JPY,7.100,20210712,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0006,1,C,,X,,4502071536,20210817,,20210712,00000000,5,0,資材部,,,PD,L,0.000,0.000,L,,,,
0012708634,00010,101,資材部,012170440,S1D1A0070    ｹｰｽ PK-G ﾀﾌﾞ,,01-222,4200.000,PC,0.48,JPY,47.580,20250905,S01687,サニーオーシャンジャパン（株）,,,,,,,00000000,,,,S1D1A0070,1,I,,X,,4502402865,20250524,,20250905,00000000,42,0,資材部,,,PD,L,1500.000,0.000,,,,,
0012709911,00010,101,資材部,012171526,S1D1B1076 PWB200AAﾃﾝﾊﾞﾝ,,01-239,2340.000,PC,0.72,JPY,72.300,20250909,S01687,サニーオーシャンジャパン（株）,,,,,,,00000000,,,,S1D1B1076,1,B,,X,,4502404037,20250529,,20250909,00000000,63,0,資材部,,,PD,L,0.000,2340.000,,,,,
0012711360,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250804,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502405793,20250606,,20250804,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
0012711705,00010,101,資材部,012171298,S1D1C0060F   ｹｰｽ DF100AA,,01-222,6080.000,PC,0.49,JPY,48.890,20250919,S01687,サニーオーシャンジャパン（株）,,,,,,,00000000,,,ﾌﾟﾛﾆｸｽ,,0,,,X,,4502406132,20250607,,20250919,00000000,42,0,資材部,,,PD,L,6000.000,6080.000,,,,,
0012714223,00010,101,資材部,012170880,G320088H01   ｹｰｽ SR30-01,,01-222,934.000,PC,0.45,JPY,44.720,20250818,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,,0,,,X,,4502408649,20250620,,20250818,00000000,36,0,資材部,,,PD,L,0.000,0.000,,,,,
0012714233,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250818,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502408652,20250620,,20250818,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
0012714665,00010,101,資材部,012171276,S1D1B0296C   ｹｰｽ SR30MA,,01-222,504.000,PC,0.66,JPY,66.410,20250820,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,,0,,,X,,4502409187,20250624,,20250820,00000000,54,0,資材部,,,PD,L,0.000,504.000,,,,,
0012714684,00010,101,資材部,012171343,S1D1B0559E   ｹｰｽ SBA500A,,01-222,560.000,PC,3.70,JPY,369.670,20250820,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,,0,,,X,,4502409194,20250624,,20250820,00000000,170,0,資材部,,,PD,L,0.000,560.000,,,,,
0012714688,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250820,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502409195,20250624,,20250820,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
0012715664,00010,101,資材部,012171512,S1D1A2952 PWB ﾀﾌﾞﾀﾝｼﾀﾞｲ,,01-234,4200.000,PC,0.37,JPY,36.790,20251009,S01687,サニーオーシャンジャパン（株）,,,,,,,00000000,,,,S1D1A2952,1,D,,X,,4502410152,20250627,,20251009,00000000,37,0,資材部,,,PD,L,1500.000,0.000,,,,,
0012715942,00010,101,資材部,012171484,S1D1B0962DｹｰｽRM-TCG381691,,01-222,280.000,PC,0.80,JPY,80.000,20250827,S01708,明誠技工（株）,,,,,,,00000000,,,,,,,,X,,4502410490,20250701,,20250822,00000000,54,0,資材部,,,PD,L,0.000,280.000,,,,,
0012716067,00010,101,資材部,012170460,S1D1A0067    ｹｰｽ PK-G02,,01-222,4550.000,PC,0.34,JPY,33.620,20250829,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,,0,,,X,,4502410589,20250702,,20250822,00000000,20,0,資材部,,,PD,L,0.000,4550.000,,,,,
0012716454,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250820,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502411070,20250703,,20250820,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
0012716772,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250901,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502411406,20250704,,20250822,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
0012717802,00010,101,資材部,D00B0046801,FRS400 天板,,01-239,207.000,PC,1.01,JPY,100.720,20250902,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,D00B0046801,0,,,X,,4502412504,20250709,,20250902,00000000,0,0,資材部,,,PD,L,0.000,207.000,,,,,
0012717819,00010,101,資材部,012171298,S1D1C0060F   ｹｰｽ DF100AA,,01-222,6080.000,PC,0.49,JPY,48.890,20251020,S01687,サニーオーシャンジャパン（株）,,,,,,,00000000,,,ﾌﾟﾛﾆｸｽ,,0,,,X,,4502412501,20250709,,20251020,00000000,42,0,資材部,,,PD,L,6000.000,6080.000,,,,,
0012717847,00010,101,資材部,012170770,S1D1B0069    ｹｰｽ PK-F-01,,01-222,2295.000,PC,0.94,JPY,93.910,20250905,S01708,明誠技工（株）,,,,,,,00000000,,,ﾒｲｾｲGK,S1D1B0069,1,L,,X,,4502412510,20250709,,20250905,00000000,31,0,資材部,,,PD,L,0.000,2295.000,,,,,
