仕入先,仕入先名,購買伝票,登録日,品目,Ｇ／Ｌ勘定,原価センタ,指図,保管場所,保管場所名,テキスト（短）,購買発注量,単位,発注残数,正味単価,通貨,発注の入庫日付,納入期日,入庫日付,出荷指示,出荷指示,購買情報番号,勘定設定カテゴリ,購買発注削除,追跡番号,備考,購買情報テキスト,総重量,重量単位,再計画日付,税コード,納入管理タブコメント欄,NL,納入予定日数,安全在庫,プラント固有St,棚番,WBS要素
,,4502378976,20250117,S00A0078301,,,10133602,1210,滋賀工場倉庫（ＡＷＣ）,SGC70AA40 R,400.000,PC,400.000,0.00000,JPY,00000000,20250924,20250924,K,資材確認済み,,,,,申請番号202500000711 製品在庫,,0.000,KG,00000000,,,L,120,100.000,,P2,
,,4502383429,20250210,452600020,,,40164243,1210,滋賀工場倉庫（ＡＷＣ）,BMD250AB20,180.000,PC,180.000,0.00000,JPY,00000000,20250917,20250917,K,資材確認済み,,,,,8/11工場完成予定,,0.000,KG,20250809,,,L,180,900.000,,P2,
,,4502383428,20250210,455C10050,,,10132946,1210,滋賀工場倉庫（ＡＷＣ）,FRS300BA50 R,50.000,PC,50.000,0.00000,JPY,00000000,20251010,20251010,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250809,,,L,180,300.000,,P1,
,,4502388592,20250310,455C90060,,,10132911,1210,滋賀工場倉庫（ＡＷＣ）,DKR400AB60 R,16.000,PC,16.000,0.00000,JPY,00000000,20250917,20250917,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250725,,,L,180,500.000,,P1,
,,4502388871,20250311,450A50160,,,10132944,1210,滋賀工場倉庫（ＡＷＣ）,DFA75BA160 R,40.000,PC,40.000,0.00000,JPY,00000000,20251008,20251008,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250809,,,L,180,800.000,,P1,
,,4502388877,20250311,4583A0060,,,10132031,1210,滋賀工場倉庫（ＡＷＣ）,DBA200UA60,2000.000,PC,2000.000,0.00000,JPY,00000000,20251008,20251008,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250809,,,L,180,4000.000,,P2,
,,4502389273,20250313,450A40160,,,10130796,1210,滋賀工場倉庫（ＡＷＣ）,DFA50BA160 R,40.000,PC,40.000,0.00000,JPY,00000000,20251113,20251113,K,資材確認済み,,,,,9/19工場完成予定,,0.000,KG,20250809,,,L,180,1000.000,,P1,
,,4502390007,20250317,S00A0161701,,,40164768,1210,滋賀工場倉庫（ＡＷＣ）,FRD100BA60 X,100.000,PC,100.000,0.00000,JPY,00000000,20250912,20250912,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250903,,,L,180,80.000,,P1,
,,4502390893,20250321,455C10050,,,10132946,1210,滋賀工場倉庫（ＡＷＣ）,FRS300BA50 R,50.000,PC,50.000,0.00000,JPY,00000000,20251113,20251113,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250916,,,L,180,300.000,,P1,
,,4502391847,20250327,453C30160,,,10133434,1210,滋賀工場倉庫（ＡＷＣ）,DFA150AA160 R,50.000,PC,50.000,0.00000,JPY,00000000,20250922,20250922,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250723,,,L,180,350.000,,P2,
,,4502391846,20250327,S00A0162006,,,40164243,1210,滋賀工場倉庫（ＡＷＣ）,PK160F-80 X,30.000,PC,30.000,0.00000,JPY,00000000,20251016,20251016,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250809,,,L,180,90.000,,P1,
,,4502394332,20250408,452600040,,,,1210,滋賀工場倉庫（ＡＷＣ）,BMD250AB40,36.000,PC,36.000,0.00000,JPY,00000000,20250904,20250919,K,資材確認済み,,,,,9/5工場完成予定,,0.000,KG,00000000,,,L,180,350.000,,P2,
,,4502394331,20250408,S00A0024801,,,40161282,1210,滋賀工場倉庫（ＡＷＣ）,SSA500AA40 RA,16.000,PC,16.000,0.00000,JPY,00000000,20250911,20250911,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250809,,,L,180,200.000,,P2,
,,4502394329,20250408,455C90060,,,10132911,1210,滋賀工場倉庫（ＡＷＣ）,DKR400AB60 R,40.000,PC,40.000,0.00000,JPY,00000000,20250916,20250916,K,資材確認済み,,,,,製品在庫,,0.000,KG,20250725,,,L,180,500.000,,P1,
,,4502394334,20250408,450A50160,,,10132944,1210,滋賀工場倉庫（ＡＷＣ）,DFA75BA160 R,40.000,PC,40.000,0.00000,JPY,00000000,20250925,20250925,K,資材確認済み,,,,,受注在庫,,0.000,KG,20250809,,,L,180,800.000,,P1,
,,4502394335,20250408,450A50160,,,10132944,1210,滋賀工場倉庫（ＡＷＣ）,DFA75BA160 R,40.000,PC,40.000,0.00000,JPY,00000000,20250926,20250926,K,資材確認済み,,,,,受注在庫,,0.000,KG,20250809,,,L,180,800.000,,P1,
