見積書番号	購買依頼★	購買依頼明細	購買依頼_削除	購買発注★	購買発注_削除	仕入先	発注テキスト	金額	発注登録日	入庫日付	納入完了	入庫番号	TECO	CMPL	DLFL	タイプ	完成年	完成月	区分（出張・修理）	指図MRP管理者	受注/指図登録日	指図タイプ名称	指図or受注★	販売伝票★	品目コード	品目テキスト	数量	製品単価	受注金額	発注保管場所	納入日付	メモ	開始日	完成日	営業担当	件名	受注先	受注得意先発注番号
		00000						0	00000000	00000000						TQM	2022	12	修理	S10	20211224	引取修理（クレーム）	70033260		ZSH		1	0	0		20221221		20221221	20250804				
		00000						0	00000000	00000000						TQM	2021	12	出張	S10	20211228	出張サービス（クレーム）	70033280		ZSS		1	0	0		20211228		20211228	20250804				
		00000						0	00000000	00000000						TQM	2022	08	修理	S10	20220201	引取修理（クレーム）	70033582		ZSH	TQM220203152福井村田製作所HKD-40120FU電流値が0Aになる	1	0	0		20220830		20220830	20250804				
		00000						0	00000000	00000000						TQM	2023	03	修理	S10	20220304	引取修理（クレーム）	70033841		ZSH		1	0	0		20230302		20230302	20250804				
		00000						0	00000000	00000000						TQM	2022	06	出張	S20	20220602	出張サービス（クレーム）	70034581		ZSS		1	0	0		20220630		20220630	20250804				
		00000						0	00000000	00000000						TQM	2022	09	出張	S10	20220929	出張サービス（クレーム）	70035621		ZSS		1	0	0		20220929		20220929	20250804				
		00000						0	00000000	00000000						TQM	2023	03	出張	S10	20230317	出張サービス（クレーム）	70037042		ZSS	TQM230303671MRMPM15005 L1ﾋﾞｽ地絡市場水平展開改修	1	0	0		20230317		20230317	20260329				
		00000						0	00000000	00000000						TQM	2023	03	出張	S10	20230317	出張サービス（クレーム）	70037044		ZSS	TQM230303671MRMPM15005 L1ﾋﾞｽ地絡市場水平展開改修	1	0	0		20230317		20230317	20260329				
		00000						0	00000000	00000000						TQM	2023	04	出張	S10	20230412	出張サービス（クレーム）	70037261		ZSS	TQM230403706ｱﾄﾞﾃｯｸSS-120GM端子焼損	1	0	0		20230412	TQM230403706 SS-120GMのクレーム調査	20230412	20250804				
		00000						0	00000000	00000000						TQM	2023	09	出張	S10	20230907	出張サービス（クレーム）	70038521		ZSS	TQM230903933ながの環境SFST30SG-TP部品交換ﾀｲﾏ不良	1	0	0		20230907		20230907	20250804				
