MRP 日付	プラント	MRP管理者	購買グループ	品目コード	略称	伝票番号	指図番号	所要日付	再計画日付	入庫/所要量	保管場所	親品目コード	親品目テキスト	例外グループ	例外	例外メッセージ	品目テキスト	Type	安全在庫	単位
20250808	P100	900	131	012090200	購発注	4502415592		20250827	20250903	200.000	1210			7	15	再日程計画(先送り)	S1D1A0222    Oﾘｰﾄﾞ PK SB	PD	0.000	PC
20250808	P100	900	128	012220310	出荷通	4502406756		20251006	20251215	40000.000	1210			7	15	再日程計画(先送り)	S1D1A1659    ｴﾎﾟｷｼXNR5002	PD	0.000	G
20250808	P100	900	128	012220320	出荷通	4502406758		20251006	20251203	26400.000	1210			7	15	再日程計画(先送り)	S1D1A1659    ｴﾎﾟｷｼXNH5002	PD	0.000	G
20250808	P100	900	136	024000601	在庫			00000000	00000000	213.000				6	96	安全在庫レベルを下回りました	ｾﾝｻﾞｲ 2XC 2.0X10 CU	PD	300.000	KG
20250808	P100	900	136	024000601	購発注	4502410180		20250917	20250808	100.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ 2XC 2.0X10 CU	PD	300.000	KG
20250808	P100	900	136	024000601	購発注	4502412521		20250917	20250819	100.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ 2XC 2.0X10 CU	PD	300.000	KG
20250808	P100	900	136	024000603	購発注	4502417668		20250917	20250826	500.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ CU ﾉｰﾒﾂｸｽ 3.0X10	PD	500.000	KG
20250808	P100	900	136	024000603	購発注	4502400807		20251027	20251009	500.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ CU ﾉｰﾒﾂｸｽ 3.0X10	PD	500.000	KG
20250808	P100	900	136	024000610	購発注	4502414507		20250827	20250903	100.000	1213			7	15	再日程計画(先送り)	ｾﾝｻﾞｲ CU ﾉｰﾒﾂｸｽ 2.0X 6	PD	50.000	KG
20250808	P100	900	136	024000616	在庫			00000000	00000000	35.000				6	96	安全在庫レベルを下回りました	ｾﾝｻﾞｲ CU ﾉｰﾒﾂｸｽ 2.6X10	PD	50.000	KG
20250808	P100	900	136	024000616	購発注	4502398455		20250827	20250808	250.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ CU ﾉｰﾒﾂｸｽ 2.6X10	PD	50.000	KG
20250808	P100	900	108	024000701	在庫			00000000	00000000	89.000				6	96	安全在庫レベルを下回りました	ｼﾞﾕﾝﾛﾝHT06B060 ｸﾛJ11B0224	PD	100.000	M
20250808	P100	900	108	024000701	出荷通	4502410297		20250821	20250808	200.000	1212			7	10	再日程計画(前倒し)	ｼﾞﾕﾝﾛﾝHT06B060 ｸﾛJ11B0224	PD	100.000	M
20250808	P100	900	108	024000701	購発注	4502416623		20251015	20251001	200.000	1212			7	10	再日程計画(前倒し)	ｼﾞﾕﾝﾛﾝHT06B060 ｸﾛJ11B0224	PD	100.000	M
20250808	P100	900	108	024000701	購依頼	0012724492		20251015	00000000	200.000	1212			4	01	新規登録された手配仮作成	ｼﾞﾕﾝﾛﾝHT06B060 ｸﾛJ11B0224	PD	100.000	M
20250808	P100	900	136	024001103	購発注	4502405135		20251009	20251022	60.000	1213			7	15	再日程計画(先送り)	ｾﾝｻﾞｲ CU AIW     1.6ﾏﾙ	PD	30.000	KG
20250808	P100	900	136	024001104	購発注	4502413590		20251217	20251114	30.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ CU AIW     2.3ﾏﾙ	PD	10.000	KG
20250808	P100	900	136	024001111	購発注	4502396933		20251022	20250917	30.000	1213			7	10	再日程計画(前倒し)	ｾﾝｻﾞｲ CU AIW     1.4ﾏﾙ	PD	50.000	KG
20250808	P100	900	136	024010609	購発注	4502405705		20250827	20250901	100.000	1213			7	15	再日程計画(先送り)	ALﾉｰﾒﾂｸｽ ﾁﾖｲﾗﾂﾌﾟ 2.0X 5	PD	26.000	KG
20250808	P100	900	136	024010625	購発注	4502396713		20250821	20250904	100.000	1213			7	15	再日程計画(先送り)	AL ﾉｰﾒﾂｸｽ 4.0X17 25KGﾄﾞﾗﾑ	PD	46.000	KG
20250808	P100	900	134	02410549200	在庫			00000000	00000000	0.000				6	96	安全在庫レベルを下回りました	ﾉｰﾒﾂｸｽﾃｰﾌﾟ 7ﾐﾙ 99ﾊﾊﾞ	PD	100.000	M
20250808	P100	900	134	02410549200	購依頼	0012699889		20250808	00000000	320.000	1213			3	07	手配終了日付が過去です	ﾉｰﾒﾂｸｽﾃｰﾌﾟ 7ﾐﾙ 99ﾊﾊﾞ	PD	100.000	M
20250808	P100	900	136	024111023	購依頼	0012720803		20250821	00000000	500.000	1213			2	06	手配開始日付が過去です	ｺｰﾅｰAV811 E2A900300C A120	PD	200.000	PC
20250808	P100	900	136	02415773800	購発注	4502418056		20250807	00000000	2.000	1211			3	07	手配終了日付が過去です	ｱﾙｺﾞﾝｶﾞｽ 7m3	PD	0.000	PC
20250808	P100	900	134	02415778100	購発注	4502417394		20251126	20251203	2.000	1213			7	15	再日程計画(先送り)	ｾﾂﾀﾞﾝｶｺｳ 12X119	PD	0.000	PC
20250808	P100	900	128	02430271200	購発注	4502417321		20251126	20251202	4.000	1213			7	15	再日程計画(先送り)	ﾘﾖｳﾈｼﾞﾎﾞﾙﾄ ﾃﾂ     8X 140	PD	0.000	PC
20250808	P100	900	128	02430271200	購発注	4502405805		20250827	20250901	48.000	1213			7	15	再日程計画(先送り)	ﾘﾖｳﾈｼﾞﾎﾞﾙﾄ ﾃﾂ     8X 140	PD	0.000	PC
20250808	P100	900	136	024420104	購発注	4502398307		20251219	00000000	4.000	1210			6	26	個別セグメントにおける超過	RM-14 ﾇｷｺｱ 0.5  H-132	PD	0.000	KG
20250808	P100	900	136	024420104	購発注	4502406625		20251009	00000000	8.000	1213			6	26	個別セグメントにおける超過	RM-14 ﾇｷｺｱ 0.5  H-132	PD	0.000	KG
20250808	P100	900	136	024420297	購発注	4502396483		20251009	00000000	144.000	1216			6	26	個別セグメントにおける超過	RM-14   30X200	PD	0.000	KG
20250808	P100	900	136	024421253	購発注	4502414857		20250924	00000000	13.000	1213			6	26	個別セグメントにおける超過	RM-14   45X 85	PD	0.000	KG
20250808	P100	900	136	024421254	購発注	4502414858		20250924	00000000	4.000	1213			6	26	個別セグメントにおける超過	RM-14   45X 45	PD	0.000	KG
20250808	P100	900	136	024421303	購発注	4502414859		20250924	00000000	35.000	1213			6	26	個別セグメントにおける超過	RM-14   50X275	PD	0.000	KG
20250808	P100	900	136	024421306	購発注	4502418981		20251210	00000000	20.000	1213			6	26	個別セグメントにおける超過	RM-14   50X 55	PD	0.000	KG
20250808	P100	900	136	024421307	購発注	4502410566		20251029	00000000	50.000	1213			6	26	個別セグメントにおける超過	RM-14   50X105	PD	0.000	KG
20250808	P100	900	136	024421307	購発注	4502418982		20251210	00000000	75.000	1213			6	26	個別セグメントにおける超過	RM-14   50X105	PD	0.000	KG
20250808	P100	900	136	024421307	購発注	4502416631		20251126	00000000	100.000	1213			6	26	個別セグメントにおける超過	RM-14   50X105	PD	0.000	KG
20250808	P100	900	136	024421307	購発注	4502418589		20251208	00000000	65.000	1213			6	26	個別セグメントにおける超過	RM-14   50X105	PD	0.000	KG
20250808	P100	900	136	024421481	購発注	4502396484		20251009	00000000	54.000	1216			6	26	個別セグメントにおける超過	RM-14   30X 75	PD	0.000	KG
