WBS要素	TecComp	販売伝票	明細	請求日	請求伝票	明細	品目コード	テキスト	受注数量	請求済数量	正味額	正味額	営業所	営業グループ	営業員	CMPL完了日付
L-0338486-10	20250804	0000338486	000010	20250801	0090857652	000010	A00A2044400	MDC41-1602-501HORF有明ﾎｰﾙ	1.000	1.000	587320.00	587320.00	西日本営業部	西営業一部営業課	00004647	00000000
M-0343390-10	20250804	0000343390	000010	20250801	0090857662	000010	A00A2132500	HKD-10200GU(K)	4.000	4.000	20100.00	20100.00	東日本営業部	東営業二部営業課	00003281	00000000
M-0342213-20	20250804	0000342213	000020	20250801	0090857666	000020	A00A1699500	HKD-3050GUT106 (K)	1.000	1.000	3800.00	3800.00	西日本営業部	西営業二部営業課	00004961	00000000
I-0292419-20	20250804	0000292419	000020	20250801	0090857689	000020	A00A1837500	FVL-300（54ｾﾙ）	1.000	1.000	11800.00	11800.00	西日本営業部	西営業一部営業課	00005285	00000000
I-0322599-10	20250805	0000322599	000010	20250804	0090857713	000010	A00A1980500	AU20N-A7-11-11空自三沢	1.000	1.000	210223.00	210223.00	東日本営業部	東営業一部一課	00004566	00000000
I-0322599-20	20250805	0000322599	000020	20250804	0090857714	000020	A00A1980600	4D-PE55S07 28個 空自三沢	1.000	1.000	46000.00	46000.00	東日本営業部	東営業一部一課	00004566	00000000
M-0343869-10	20250805	0000343869	000010	20250804	0090857800	000010	A00A1470000	HKE-10200GT59(K)	6.000	6.000	23000.00	23000.00	東日本営業部	東営業二部営業課	00004312	00000000
M-0338499-10	20250805	0000338499	000010	20250804	0090857808	000010	A00A2099300	KCA2F7-35-600W	1.000	1.000	30400.00	30400.00	西日本営業部	西営業二部営業課	00004256	00000000
L-0339297-10	20250806	0000339297	000010	20250805	0090857883	000010	A00A2107700	愛知県労働ｾﾝﾀｰ改修部材	1.000	1.000	62550.00	62550.00	西日本営業部	西営業一部営業課	00004647	00000000
M-0335889-10	20250806	0000335889	000010	20250805	0090857884	000010	A00A2083500	MRT-20005C	4.000	4.000	34450.00	34450.00	東日本営業部	東営業二部営業課	00003281	00000000
M-0335889-20	20250806	0000335889	000020	20250805	0090857885	000020	A00A2083800	MRT-15003C(K)	1.000	1.000	8850.00	8850.00	東日本営業部	東営業二部営業課	00003281	00000000
M-0335889-30	20250806	0000335889	000030	20250805	0090857886	000030	A00A2083900	HKD-1020GU(K)	1.000	1.000	3500.00	3500.00	東日本営業部	東営業二部営業課	00003281	00000000
M-0335889-40	20250806	0000335889	000040	20250805	0090857887	000040	A00A1894900	HKD-25RE Gｼﾘｰｽﾞ(ｳﾒｺﾐ)	7.000	7.000	9100.00	9100.00	東日本営業部	東営業二部営業課	00003281	00000000
G-0345817-10	20250807	0000345817	000010	20250806	0090857926	000010	A00A2142900	ハーネス部材	1.000	1.000	2000.00	2000.00	東日本営業部	東営業一部二課	00005196	00000000
I-0334363-10	20250807	0000334363	000010	20250806	0090857927	000010	A00A2075200	SFST30SGB-100MSP 東京製鐵	1.000	1.000	73550.00	73550.00	西日本営業部	西営業一部営業課	00004649	00000000
I-0334363-20	20250807	0000334363	000020	20250806	0090857928	000020	A00A2075300	FVL-100-6 180ｾﾙ 東京製鐵	1.000	1.000	20000.00	20000.00	西日本営業部	西営業一部営業課	00004649	00000000
I-0329522-10	20250808	0000329522	000010	20250807	0090858004	000010	A00A2040700	SRG-200TG-NAS	1.000	1.000	425000.00	425000.00	中部営業	中部営業所	00003808	00000000
M-0338800-10	20250808	0000338800	000010	20250807	0090858073	000010	A00A2105700	MRS-6008AT	1.000	1.000	11550.00	11550.00	東日本営業部	東営業二部営業課	00003281	00000000
M-0338802-10	20250808	0000338802	000010	20250807	0090858095	000010	A00A2077000	KTA2F2-24-2000CPCL	3.000	3.000	42650.00	42650.00	西日本営業部	西営業一部営業課	00004647	00000000
