品目コード	プラント	品目テキスト	保管場所	特殊在庫区分	特殊在庫の評価	特殊在庫番号	保管場所レベルでの品目削除フラグ	ロット番号	基本数量単位	利用可能評価在庫	通貨コード	利用可能値	転送中在庫（保管場所間）	積送/輸送中の値	品質検査中在庫	品質検査値	非利用可能ロットの全在庫合計	制限値	保留在庫	保留在庫値	返品保留在庫	保留返品金額	販売伝票	販売伝票明細	棚番	勘定科目コード	勘定科目名	品目タイプ	滞留日数	評価クラス	評価クラステキスト	調達タイプ	調達タイプテキスト	評価減区分
10001111800	P300	DCF6 DC  20V ﾃｲｶｸDC  20V 2.5ｷﾕｳ ﾄﾘﾂｹ 90ﾟ	3110						PC	       1.000	JPY	               1130	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-1	154000	原材料(自動入力)	ROH	   1305	1200	ＳＳＳ原材料	F	外部調達	00
10015555900	P300	DVF11M DC   30A ﾃｲｶｸDC   30A *	3110						PC	       1.000	JPY	               4850	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-1	154000	原材料(自動入力)	ROH	    281	1200	ＳＳＳ原材料	F	外部調達	00
10045002008	P300	AVF11 AC 600V ﾃｲｶｸAC 150V 1.5*	3110						PC	       3.000	JPY	              13950	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-2	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
10045311500	P300	AVF11 AC   20A ﾃｲｶｸAC    5A 1*	3110						PC	       1.000	JPY	               4330	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3	154000	原材料(自動入力)	ROH	   2787	1200	ＳＳＳ原材料	F	外部調達	00
10702027400	P300	VGP-2E-1-8 IN:AC150V 50/60HZ*	3110						PC	       1.000	JPY	              15200	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-2	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
10802079900	P300	W5VS-A5YM IN:DC4-20MA OUT:DC *	3110						PC	       4.000	JPY	              26400	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-1	154000	原材料(自動入力)	ROH	    521	1200	ＳＳＳ原材料	F	外部調達	00
10802082600	P300	W5VS-5AY-M*	3110						PC	      22.000	JPY	             151404	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-1	154000	原材料(自動入力)	ROH	    563	1200	ＳＳＳ原材料	F	外部調達	00
10802086500	P300	W5MS-4Y-M AC85-264V DC0-10V ﾀ*	3110						PC	       1.000	JPY	              10560	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-13	154000	原材料(自動入力)	ROH	    137	1200	ＳＳＳ原材料	F	外部調達	00
10802165800	P300	W5VS-02AYM IN:0-80MV OUT:DC 2*	3110						PC	       2.000	JPY	              15600	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-2	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
10802166100	P300	MDP-24-1/N 4-20MA 4-20MAﾖｳ	3110						PC	      16.000	JPY	             115200	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	      2	1200	ＳＳＳ原材料	F	外部調達	00
11001216200	P300	Eｶﾞﾀ 2000A 60MV ML3438B	3110						PC	       2.000	JPY	              27240	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P10-4	154000	原材料(自動入力)	ROH	    274	1200	ＳＳＳ原材料	F	外部調達	00
