指図のMRP管理者	製造指図/ネットワーク	指図の品目テキスト	計画開始	計画終了	明細カテゴリ	MRP管理者	品目コード	品目テキスト	出庫完了	所要量	出庫済み	所要残（不足数）	出庫保管場所在庫	プラント在庫数量	出庫保管場所	棚番	購買グループテキスト	仕入先コード	仕入先名称	購買依頼	購買発注量	購買発注登録日	指定納期	回答納期	入庫日付	購買伝票	常備の購買発注	MRPタイプ	WBS要素	親WBS要素	親ネットワーク番号	不足品目	利用可能数量
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	P0A336705	WK-3367A U05  ROHS(00)	X	           30.000	           30.000	            0.000	            9.000	            9.000	1120	3124(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	PZZA0259604	WK-2596A U04  REACH	X	           15.000	           15.000	            0.000	           15.000	           15.000	1120	3125(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	P00A0745200	WK-7452  PANEL REACH	X	           15.000	           15.000	            0.000	            0.000	            0.000	1120	3132(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC5	PZZA0336608	WK-3366 U08  REACH	X	           30.000	           30.000	            0.000	           66.000	           66.000	1120	3134(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	PZZA0344829	WK-3448 U29 REACH	X	           15.000	           15.000	            0.000	            0.000	            0.000	1120	3152(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	PZZA0550202	WK-5502A U02  REACH	X	           15.000	           15.000	            0.000	            9.000	            9.000	1120	3356(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	PC1	P00A0745800	WK-7458A     CTRL REACH	X	           15.000	           15.000	            0.000	            0.000	            0.000	1120	3412(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	11251007101	HC-TN600V4B12M(ROHS) 600A 4V *	X	           15.000	           15.000	            0.000	           76.000	           76.000	1210	B1001	高間　奈穂	S00835	（株）立花エレテック		            0.000	2025/03/05	2025/11/12	2025/11/12	0000/00/00		4502387563	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40305423700	ERG5SJ222 5W 2.2kｵｰﾑ +       *	X	           15.000	           15.000	            0.000	         1205.000	         1205.000	1120	B1001	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42421024500	ECWH12683JV DC1250V 0.068μF +*	X	           45.000	           45.000	            0.000	          610.000	          914.000	1210	B1001	高間　奈穂	S01944	（株）三ツ波		            0.000	2025/05/21	2025/11/12	2025/12/22	0000/00/00		4502402118	PD					            0.000
